Sl.No,Slide_No,State,District,Slide_Name,Latitude,Longitude,dem_tile,dem_row,dem_column,elevation_m,slope_deg,aspect_deg
40,ASM/HLK/83D09/2020/006,Assam,Hailakandi,Chandipur Grant Slide,24.79489,92.55506,N24E092,738,1998,45.0,8.5247,340.9041
41,AS/DIM/83C16/2018/27,Assam,Cachar,Lowajuri,24.795892,93.045425,N24E093,735,164,125.0,24.2014,308.4107
42,AS/DIM/83C16/2018/28,Assam,Cachar,Lalpani,24.813648,93.073009,N24E093,671,263,47.0,18.1588,335.9325
43,ASM/CHR/83H01/2020/001,Assam,Cachar,Kanakpur Slide,24.92097,93.07306,N24E093,285,263,61.0,15.338,73.7196
44,AS/CHR/83D13/2020/9,Assam,Cachar,Haticherra slide,24.93,92.84,N24E092,252,3024,51.0,5.6826,80.6375
46,AS/CHR/83D13/2020/7,Assam,Cachar,Subong slide,24.95,92.8,N24E092,180,2880,37.0,6.87,254.4121
47,AS/CHR/83D13/2020/5,Assam,Cachar,Nagadun slide,24.96,92.92,N24E092,144,3312,40.0,4.1885,77.2296
48,AS/CHR/83D09/2020/2,Assam,Cachar,Bicrampore slide-1,24.96,92.7,N24E092,144,2520,42.0,5.3998,82.6204
49,AS/CHR/83D09/2020/3,Assam,Cachar,Bicrampore Slide -2,24.96,92.7,N24E092,144,2520,42.0,5.3998,82.6204
50,AS/CHR/83D13/2020/4,Assam,Cachar,Guabari slide-2,24.96,92.95,N24E092,144,3420,140.0,14.3729,154.1832
51,AS/CHR/83D09/2020/1,Assam,Cachar,Sonbari Slide,24.96,92.66,N24E092,144,2376,39.0,9.965,146.0174
52,AS/CHR/83D09/2020/5,Assam,Cachar,Dinonatpur slide,24.96,92.66,N24E092,144,2376,39.0,9.965,146.0174
53,AS/CHR/83D13/2020/8,Assam,Cachar,Tikal Nadi,24.96,92.98,N24E092,144,3528,60.0,28.1779,339.5141
54,AS/CHR/83D13/2020/1,Assam,Cachar,Balichhara slide-1,24.97,92.76,N24E092,108,2736,24.0,3.8427,344.5824
55,AS/CHR/83D09/2020/4,Assam,Cachar,Narainchara grant slide,24.97,92.72,N24E092,108,2592,57.0,4.5973,236.3845
56,AS/CHR/83D09/2020/6,Assam,Cachar,Narainchora slide-1,24.97,92.72,N24E092,108,2592,57.0,4.5973,236.3845
57,AS/CHR/83D09/2020/7,Assam,Cachar,Naraichhora slide-2,24.97,92.72,N24E092,108,2592,57.0,4.5973,236.3845
58,AS/CAC/83H01/2018/55,Assam,Cachar,Lailongchara 3,24.97228,93.03289,N24E093,100,118,157.0,2.1015,186.9879
59,AS/CAC/83H01/2018/54,Assam,Cachar,Lailongchara 2,24.97692,93.033,N24E093,83,119,184.0,18.4753,338.8522
60,AS/CAC/83H01/2018/53,Assam,Cachar,Lailongchara 1,24.97714,93.03344,N24E093,82,120,176.0,12.8766,337.0086
61,AS/CHR/83D13/2020/6,Assam,Cachar,Balichhara slide-3,24.98,92.75,N24E092,72,2700,32.0,5.5708,5.2526
62,AS/CHR/83D13/2020/3,Assam,Cachar,Guabari slide-1,24.98,92.96,N24E092,72,3456,166.0,26.4407,290.9818
63,AS/CHR/83C12/2020/3,Assam,Cachar,Ekala Basti slide,24.98,92.72,N24E092,72,2592,37.0,1.7927,301.1447
64,AS/CHR/83D09/2020/9,Assam,Cachar,Khurkurie slide,24.99,92.6,N24E092,36,2160,84.0,2.3128,95.7508
65,AS/CHR/83D05/2020/2,Assam,Cachar,Tarapur slide,24.99,92.45,N24E092,36,1620,18.0,1.3901,213.5035
66,AS/CHR/83D13/2020/2,Assam,Cachar,Balichhara slide-2,24.99,92.75,N24E092,36,2700,152.0,20.2964,213.7342
67,AS/CAC/83H01/2018/42,Assam,Cachar,Bara Arkap_1,24.993,93.161583,N24E093,25,582,189.0,20.5558,130.355
68,AS/CAC/83H01/2018/43,Assam,Cachar,Bara Arkap_2,24.99561,93.16261,N24E093,16,585,203.0,28.7082,101.9409
69,AS/CHR/83D05/2020/1,Assam,Cachar,Natanpur slide,25.0,92.43,N25E092,3600,1548,22.0,,
70,AS/DIM/83G4/2015/61,Assam,Dima Hasao,Jenam Ghat road,25.003,93.164,N25E093,3589,590,211.0,19.5267,264.1052
71,AS/DIM/83G4/2015/33,Assam,Dima Hasao,Nutan Leikul-6,25.008,93.04,N25E093,3571,144,194.0,12.9962,117.1228
72,AS/CHR/83C12/2020/5,Assam,Cachar,New Jatinga slide,25.01,92.75,N25E092,3564,2700,40.0,1.8543,0.0
73,AS/CHR/83C12/2020/6,Assam,Cachar,NH -27 slide 2,25.01,92.75,N25E092,3564,2700,40.0,1.8543,0.0
74,AS/CHR/83C12/2020/7,Assam,Cachar,NH -27 slide 1,25.01,92.75,N25E092,3564,2700,40.0,1.8543,0.0
75,AS/CHR/83C12/2020/4,Assam,Cachar,Jatinga River slide-2,25.01,92.73,N25E092,3564,2628,100.0,27.6057,352.1465
76,AS/DIM/83C16/2017/10,Assam,Dima Hasao,Miyunkro1,25.010379,92.75482,N25E092,3563,2717,97.0,13.0081,327.231
77,AS/DIM/83C16/2017/41,Assam,Dima Hasao,Durbintola4,25.01856,92.77011,N25E092,3533,2772,80.0,15.8059,304.8786
78,AS/DIM/83C16/2018/49,Assam,Dima Hasao,Durbintola5,25.019029,92.770549,N25E092,3531,2774,92.0,23.7303,282.7644
81,AS/CAC/83C4/2016/73,Assam,Cachar,0.21 km N of Malidhar,25.029708,92.463967,N25E092,3493,1670,89.0,27.6678,343.1635
82,AS/CAC/83C4/2016/74,Assam,Cachar,0.39 km N of Malidhar,25.031431,92.463231,N25E092,3487,1668,93.0,42.1068,239.3051
83,AS/CAC/83C4/2016/75,Assam,Cachar,0.48 km N of Malidhar,25.032119,92.462636,N25E092,3484,1665,69.0,36.1922,234.8844
84,AS/CAC/83C4/2016/76,Assam,Cachar,0.58 km NW of Malidhar,25.032989,92.462214,N25E092,3481,1664,82.0,35.3741,242.5028
85,AS/DIM/83C16/2017/58,Assam,Dima Hasao,Durbintola5,25.034948,92.778753,N25E092,3474,2804,88.0,28.6761,305.2496
86,AS/DIM/83C16/2017/40,Assam,Dima Hasao,Durbintola3,25.0365,92.780417,N25E092,3469,2810,93.0,25.7956,281.5929
87,MEG/WJH/83C4/2016/45,Assam,Cachar,2 km E of Rathacherra,25.037203,92.450339,N25E092,3466,1621,211.0,41.8928,283.8341
88,AS/DIM/83C16/2017/39,Assam,Dima Hasao,Durbintola2,25.039722,92.781889,N25E092,3457,2815,99.0,34.8937,329.1791
89,AS/DIM/83C16/2017/38,Assam,Dima Hasao,Durbintola1,25.041083,92.783111,N25E092,3452,2819,91.0,30.2298,299.088
90,AS/DIM/83C16/2017/37,Assam,Dima Hasao,Bandarkhal11,25.046444,92.789667,N25E092,3433,2843,107.0,28.9054,315.9127
91,AS/DIM/83C16/2017/36,Assam,Dima Hasao,Bandarkhal10,25.046778,92.790111,N25E092,3432,2844,110.0,25.9572,321.3929
92,AS/DIM/83C16/2017/25,Assam,Dima Hasao,Bandarkhal9,25.047417,92.793389,N25E092,3429,2856,118.0,37.7323,317.959
93,AS/DIM/83C16/2018/29,Assam,Dima Hasao,Bandarkhal railway slide.,25.04783,92.78931,N25E092,3428,2842,95.0,26.7334,153.1079
94,AS/DIM/83C16/2017/24,Assam,Dima Hasao,Bandarkhal8,25.049417,92.796722,N25E092,3422,2868,111.0,19.7442,352.8505
98,AS/DIM/83C16/2017/20,Assam,Dima Hasao,Bandarkhal5,25.056611,92.801722,N25E092,3396,2886,131.0,36.4218,317.3038
99,AS/DIM/83C16/2017/18,Assam,Dima Hasao,Bandarkhal3,25.060088,92.807089,N25E092,3384,2906,186.0,35.2968,341.6077
100,AS/DIM/83C16/2017/19,Assam,Dima Hasao,Bandarkhal4,25.060944,92.80675,N25E092,3381,2904,126.0,11.86,253.1982
101,AS/DIM/83C16/2017/15,Assam,Dima Hasao,Paschim Bandarkhla3,25.061375,92.795906,N25E092,3379,2865,271.0,24.2389,58.5782
102,AS/DIM/83C16/2017/17,Assam,Dima Hasao,Bandarkhal2,25.061417,92.806833,N25E092,3379,2905,162.0,25.3333,242.5082
103,AS/DIM/83C16/2017/13,Assam,Dima Hasao,Paschim Bandarkhla1,25.061847,92.79345,N25E092,3377,2856,354.0,50.862,64.8595
104,AS/DIM/83C16/2017/14,Assam,Dima Hasao,Paschim Bandarkhla2,25.063378,92.795536,N25E092,3372,2864,283.0,17.207,146.7564
105,AS/DIM/83C16/2017/12,Assam,Dima Hasao,Bandarkhal1,25.063472,92.807796,N25E092,3372,2908,189.0,36.3778,283.988
106,AS/DIH/83G08/2020/33,Assam,Dima Hasao,Data taken from P. Songkai to,25.07,93.29,N25E093,3348,1044,335.0,12.1873,221.4511
108,AS/DIM/83C16/2017/11,Assam,Dima Hasao,Kayang1,25.073228,92.814734,N25E092,3336,2933,255.0,20.9113,354.6322
109,AS/DIM/83C16/2017/09,Assam,Dima Hasao,Duiheng2,25.078935,92.95379,N25E092,3316,3434,1081.0,23.925,284.7978
110,AS/DIM/83C16/2017/08,Assam,Dima Hasao,Duiheng1,25.088389,92.958944,N25E092,3282,3452,965.0,23.2376,145.0834
111,AS/DIH/83G08/2020/31,Assam,Dima Hasao,P. Songkai to Natun Songkai,25.1,93.28,N25E093,3240,1008,909.0,12.581,157.6378
112,AS/DIH/83G08/2020/32,Assam,Dima Hasao,P. Songkai to Natun Songkai,25.1,93.28,N25E093,3240,1008,909.0,12.581,157.6378
113,AS/DIH/83G08/2020/36,Assam,Dima Hasao,P. Songkai to Natun Songkai,25.1,93.28,N25E093,3240,1008,909.0,12.581,157.6378
114,AS/DIM/83C16/2017/06,Assam,Dima Hasao,Retzawl5,25.10275,92.986944,N25E092,3230,3553,612.0,28.1894,327.7468
116,AS/DIM/83C16/2017/01,Assam,Dima Hasao,Retzawl1,25.105414,92.972784,N25E092,3221,3502,386.0,20.4152,315.8586
117,AS/DIM/83G4/2015/14,Assam,Dima Hasao,Silchar road,25.106,93.001,N25E093,3218,4,677.0,35.1196,5.4695
118,AS/DIM/83C16/2017/02,Assam,Dima Hasao,Retzawl2,25.106956,92.991363,N25E092,3215,3569,576.0,21.2101,50.4969
119,AS/DIM/83G4/2015/13,Assam,Dima Hasao,Silchar road,25.107,93.002,N25E093,3215,7,604.0,26.5535,25.9893
120,AS/DIM/83C16/2017/31,Assam,Dima Hasao,Bara Mulkai sinking zone.,25.107546,92.885543,N25E092,3213,3188,279.0,10.4717,55.2993
121,AS/DIM/83G4/2015/15,Assam,Dima Hasao,Silchar road,25.108,93.003,N25E093,3211,11,538.0,11.6523,85.4978
122,AS/DIM/83C16/2017/03,Assam,Dima Hasao,Retzawl3,25.108759,92.978048,N25E092,3208,3521,432.0,21.252,2.6346
123,AS/DIM/83C16/2017/04,Assam,Dima Hasao,Retzawl4,25.108806,92.975139,N25E092,3208,3511,367.0,17.3134,333.6112
125,AS/DIM/83C16/2017/33,Assam,Dima Hasao,New Harangajao railway station slide. NH54,25.11219,92.86881,N25E092,3196,3128,249.0,14.9051,325.187
128,AS/DIM/83G4/2015/11,Assam,Dima Hasao,Silchar road slide.,25.118,93.014,N25E093,3175,50,621.0,15.2132,299.4126
129,AS/DIM/83G4/2015/16,Assam,Dima Hasao,Silchar road,25.119,93.017,N25E093,3172,61,724.0,20.2263,311.2255
130,AS/DIM/83G4/2015/17,Assam,Dima Hasao,Silchar road,25.119,93.018,N25E093,3172,65,750.0,21.1447,324.7022
131,AS/DIM/83G4/2015/18,Assam,Dima Hasao,Silchar road,25.12,93.02,N25E093,3168,72,750.0,23.2351,13.8542
132,AS/NC/83C16/2009-10/AS-4,Assam,Dima Hasao,Mailongdisa-Harangajao slide,25.121,92.915028,N25E092,3164,3294,306.0,16.4388,166.8657
133,AS/DIM/83G4/2015/55,Assam,Dima Hasao,Bara Wapu,25.122,93.025,N25E093,3161,90,691.0,24.2404,319.8156
134,AS/DIM/83G4/2015/21,Assam,Dima Hasao,Jatinga,25.122,93.026,N25E093,3161,94,735.0,20.1597,306.5306
135,AS/DIM/83G4/2015/19,Assam,Dima Hasao,Jatinga Orange Garden Slide.,25.123,93.034,N25E093,3157,122,715.0,37.355,218.7974
136,AS/DIM/83G4/2015/20,Assam,Dima Hasao,Jatinga slide,25.123,93.033,N25E093,3157,119,665.0,45.1709,230.2352
137,AS/NC/83C16/2009-10/AS-5,Assam,Dima Hasao,Mailongdisa-Harangajao-2 slide,25.124306,92.904278,N25E092,3152,3255,283.0,22.3617,130.4858
138,AS/NC/83C16/2009-10/AS-3,Assam,Dima Hasao,Jatinga-Longrangajao slide,25.124583,92.989111,N25E092,3152,3561,526.0,19.4671,185.0784
140,AS/DIH/83G08/2020/17,Assam,Dima Hasao,"Along Jenam river, Hangrum",25.13,93.27,N25E093,3132,972,547.0,26.8782,160.4194
141,AS/DIH/83G08/2020/19,Assam,Dima Hasao,Data recorded from Hangrum to,25.13,93.29,N25E093,3132,1044,989.0,33.2588,358.4378
142,AS/DIM/83G4/2015/65,Assam,Dima Hasao,Nutan Leikul-Kelelo Sinking zone,25.134,93.045,N25E093,3118,162,665.0,14.3766,334.1513
144,AS/DIM/83G4/2015/27,Assam,Dima Hasao,Kelelo slide-1,25.135,93.04,N25E093,3114,144,622.0,14.4975,284.5023
145,AS/DIM/83G4/2015/32,Assam,Dima Hasao,Nutan Leikul-5,25.135,93.04,N25E093,3114,144,622.0,14.4975,284.5023
146,AS/DIM/83G4/2015/36,Assam,Dima Hasao,Kelelo-4,25.136,93.04,N25E093,3110,144,621.0,9.5641,238.1021
147,AS/DIM/83G4/2015/29,Assam,Dima Hasao,NutanLeikul-2,25.137,93.04,N25E093,3107,144,639.0,13.1901,219.0092
148,AS/DIM/83G4/2015/34,Assam,Dima Hasao,Kelelo -2,25.137,93.034,N25E093,3107,122,643.0,24.1401,246.589
149,AS/DIM/83G4/2015/35,Assam,Dima Hasao,Kelelo-3,25.137,93.04,N25E093,3107,144,639.0,13.1901,219.0092
150,AS/DIM/83G4/2015/22,Assam,Dima Hasao,Jatinga slide,25.137,93.018,N25E093,3107,65,742.0,7.5786,299.1224
151,AS/DIM/83G4/2015/56,Assam,Dima Hasao,Bara Haflong,25.139,93.025,N25E093,3100,90,610.0,12.2557,117.759
152,AS/DIM/83G4/2015/58,Assam,Dima Hasao,Bara Haflong-3,25.139,93.025,N25E093,3100,90,610.0,12.2557,117.759
153,AS/DIM/83G4/2015/30,Assam,Dima Hasao,NutanLeikul-3,25.139,93.04,N25E093,3100,144,641.0,14.5628,93.5725
155,AS/DIH/83G08/2020/20,Assam,Dima Hasao,Below Hangrum village.,25.14,93.31,N25E093,3096,1116,1060.0,21.668,148.8293
156,AS/DIH/83G08/2020/30,Assam,Dima Hasao,Hangrum village,25.14,93.3,N25E093,3096,1080,1188.0,25.1525,217.5403
157,ASM/DH/83G4/2016/17,Assam,Dima Hasao,"Near and below Assam rifles camp,",25.140417,93.020389,N25E093,3094,73,732.0,27.2772,146.2985
158,AS/DIM/83G4/2015/28,Assam,Dima Hasao,Nutan Leikul-1,25.142,93.04,N25E093,3089,144,669.0,10.3425,51.6172
159,AS/DIM/83G4/2015/31,Assam,Dima Hasao,Nutan Leikul-4,25.142,93.04,N25E093,3089,144,669.0,10.3425,51.6172
160,AS/DIM/83G4/2015/49,Assam,Dima Hasao,Thingbhung,25.145,93.158,N25E093,3078,569,1294.0,20.7745,46.9412
161,ASM/DH/83G4/2016/44,Assam,Dima Hasao,New Haflong R. S slide(3),25.14525,93.029167,N25E093,3077,105,542.0,29.259,98.3068
163,AS/DH/83C16/2018/002,Assam,Dima Hasao,Jatinga Lampur landslide.,25.146306,93.942167,N25E093,3073,3392,1287.0,16.3889,220.8163
165,ASM/DH/83G4/2016/43,Assam,Dima Hasao,New Haflong R.S. slide - (2),25.148722,93.031917,N25E093,3065,115,451.0,27.6762,143.367
166,AS/DIH/83G08/2020/21,Assam,Dima Hasao,Data recorded from Hejaichak,25.15,93.37,N25E093,3060,1332,975.0,35.0736,263.3804
167,ASM/DH/83G4/2016/15,Assam,Dima Hasao,Boro Haflong-1,25.150694,93.025833,N25E093,3058,93,672.0,16.1039,66.0145
168,AS/DIM/83G4/2015/41,Assam,Dima Hasao,Pura slide.-2,25.155,93.067,N25E093,3042,241,515.0,20.566,287.5785
169,AS/DIM/83G4/2015/42,Assam,Dima Hasao,"Pura,NH-54",25.155,93.067,N25E093,3042,241,515.0,20.566,287.5785
170,AS/DIM/83G4/2015/26,Assam,Dima Hasao,Pura slide.,25.155,93.073,N25E093,3042,263,600.0,8.6783,241.4938
171,ASM/DH/83G4/2016/25,Assam,Dima Hasao,Mahadev Tila slide-2,25.155611,93.022222,N25E093,3040,80,617.0,16.3853,318.0067
172,ASM/DH/83G4/2016/24,Assam,Dima Hasao,Mahadev Tilla-1,25.155722,93.022778,N25E093,3039,82,613.0,24.7827,2.2199
173,AS/DIM/83G4/2015/57,Assam,Dima Hasao,Bara Haflong,25.156,93.018,N25E093,3038,65,599.0,16.4001,219.6448
176,ASM/DH/83G4/2016/06,Assam,Dima Hasao,G. C. Langthasa High school slide,25.156694,93.017667,N25E093,3036,64,616.0,29.1441,189.2282
177,AS/DIM/83G4/2015/64,Assam,Dima Hasao,Pura Sinking Zone village,25.157,93.062,N25E093,3035,223,514.0,11.6854,32.7135
178,AS/DIM/83G4/2015/43,Assam,Dima Hasao,Pura-4,25.157,93.066,N25E093,3035,238,491.0,19.0252,253.6398
179,ASM/DH/83G4/2016/29,Assam,Dima Hasao,Haflong-Jatinga road section slide-04,25.157139,93.017194,N25E093,3034,62,651.0,33.8461,190.3705
181,ASM/DH/83G4/2016/30,Assam,Dima Hasao,Gadhi Rojai Slide,25.159333,93.017,N25E093,3026,61,685.0,6.2113,35.1097
182,ASM/DH/83G4/2016/14,Assam,Dima Hasao,Songpiang-2,25.163444,93.023167,N25E093,3012,83,557.0,19.5501,95.8871
183,ASM/DH/83G4/2016/42,Assam,Dima Hasao,96 km Migrendisa slide,25.164,93.040194,N25E093,3010,145,450.0,17.3562,163.3738
184,ASM/DH/83G4/2016/13,Assam,Dima Hasao,Songpiang-1,25.165639,93.025444,N25E093,3004,92,516.0,13.009,62.9072
185,AS/DIM/83G4/2015/44,Assam,Dima Hasao,Pangmol,25.169,93.155,N25E093,2992,558,960.0,13.3685,17.5202
186,AS/DIM/83G4/2015/45,Assam,Dima Hasao,Riao slide,25.169,93.156,N25E093,2992,562,956.0,7.5579,47.8531
187,AS/DIH/83G08/2020/15,Assam,Dima Hasao,Data recorded from Hejaichak,25.17,93.36,N25E093,2988,1296,1165.0,54.1347,257.496
189,ASM/DH/83G4/2016/12,Assam,Dima Hasao,"Huonveng, N.D Raji-3",25.171889,93.003944,N25E093,2981,14,741.0,11.9569,130.5224
191,ASM/DH/83G4/2016/10,Assam,Dima Hasao,N.D Raji.-1,25.175972,93.020167,N25E093,2967,73,590.0,28.4589,74.8515
192,ASM/DH/83G4/2016/23,Assam,Dima Hasao,Mahur,25.176389,93.116139,N25E093,2965,418,564.0,15.4525,17.9
193,ASM/DH/83G4/2016/08,Assam,Dima Hasao,Khongsai slide- 2,25.176917,93.026556,N25E093,2963,96,452.0,23.3794,159.4092
195,ASM/DH/83G4/2016/05,Assam,Dima Hasao,Khongsai slide-1,25.1775,93.026222,N25E093,2961,94,484.0,16.3102,174.7389
196,ASM/DH/83G4/2016/01,Assam,Dima Hasao,Migrendisa slide,25.179861,93.070778,N25E093,2953,255,512.0,5.5565,128.6077
197,AS/DIH/83G08/2020/14,Assam,Dima Hasao,Data recorded from Hejaichak,25.18,93.33,N25E093,2952,1188,868.0,26.2362,107.6873
201,ASM/DH/83G4/2016/20,Assam,Dima Hasao,Newngalsong,25.184528,93.125639,N25E093,2936,452,630.0,16.2715,343.0757
202,AS/DIM/83G4/2015/62,Assam,Dima Hasao,Phaeding-Sunbung Subsidence,25.186,93.104,N25E093,2930,374,518.0,2.6022,280.2587
204,AS/DIM/83G4/2015/63,Assam,Dima Hasao,Bara-wapu village subsidence,25.188,93.066,N25E093,2923,238,714.0,7.5809,240.8878
206,AS/DIM/83G4/2015/37,Assam,Dima Hasao,Asalu slide,25.189,93.192,N25E093,2920,691,802.0,13.3717,52.2016
208,ASM/DH/83G4/2016/53,Assam,Dima Hasao,Mahur railway station slide,25.189556,93.096417,N25E093,2918,347,535.0,23.6625,171.1938
209,AS/DIM/83G4/2015/40,Assam,Dima Hasao,Asalu-3,25.19,93.191,N25E093,2916,688,800.0,11.2108,44.3861
213,AS/DIM/83G4/2015/39,Assam,Dima Hasao,Asalu-2,25.191,93.192,N25E093,2912,691,771.0,16.1385,18.0057
216,ASM/DH/83G4/2016/39,Assam,Dima Hasao,Haflong-Gunjung road section slide-10 Lower Haflong,25.199722,93.016722,N25E093,2881,60,418.0,26.8263,352.8875
217,AS/DIH/83G08/2020/1,Assam,Dima Hasao,Data collected from Mahur-,25.2,93.25,N25E093,2880,900,1193.0,20.0351,2.8121
218,AS/DIH/83G08/2020/43,Assam,Dima Hasao,Mahur-Toulpui road.,25.2,93.25,N25E093,2880,900,1193.0,20.0351,2.8121
219,AS/DIM/83G4/2015/50,Assam,Dima Hasao,Heuwangbram,25.201,93.122,N25E093,2876,439,604.0,17.1908,255.6089
220,AS/DIM/83G4/2015/48,Assam,Dima Hasao,Riao,25.204,93.059,N25E093,2866,212,574.0,13.2377,132.1387
221,ASM/DH/83G4/2016/54,Assam,Dima Hasao,Phaiding slide,25.204556,93.138889,N25E093,2864,500,602.0,16.2417,156.4721
222,AS/DIM/83G4/2015/46,Assam,Dima Hasao,Pangmol-2,25.205,93.059,N25E093,2862,212,575.0,11.5068,61.5036
223,AS/DIM/83G4/2015/47,Assam,Dima Hasao,Riao,25.205,93.008,N25E093,2862,29,386.0,15.1993,67.2136
225,AS/DIM/83G4/2015/53,Assam,Dima Hasao,Semdikhar,25.206,93.126,N25E093,2858,454,786.0,20.2266,243.9381
