Sl.No,Slide_No,State,District,Slide_Name,Latitude,Longitude,event_date,elevation,slope,aspect,rainfall_24h,rainfall_3d,rainfall_7d,rainfall_source,rainfall_source_type,rainfall_status,soil_moisture_0_7cm,soil_moisture_7_28cm,soil_moisture_28_100cm,soil_moisture_100_255cm,soil_moisture,soil_moisture_source,soil_moisture_source_type,soil_moisture_status
137,AS/NC/83C16/2009-10/AS-5,Assam,Dima Hasao,Mailongdisa-Harangajao-2 slide,25.124306,92.904278,2010-04-02,283.0,22.3617,130.4858,8.7,153.3,287.1,Open-Meteo historical weather,reanalysis,available,0.442375,0.463417,0.450375,0.390292,0.436615,Open-Meteo ERA5-Land,reanalysis,available
138,AS/NC/83C16/2009-10/AS-3,Assam,Dima Hasao,Jatinga-Longrangajao slide,25.124583,92.989111,2010-06-16,526.0,19.4671,185.0784,11.2,49.8,93.5,Open-Meteo historical weather,reanalysis,available,0.456458,0.462417,0.443917,0.473708,0.459125,Open-Meteo ERA5-Land,reanalysis,available
163,AS/DH/83C16/2018/002,Assam,Dima Hasao,Jatinga Lampur landslide.,25.146306,93.942167,2018-06-14,1287.0,16.3889,220.8163,22.8,214.1,308.5,Open-Meteo historical weather,reanalysis,available,0.440667,0.448375,0.450375,0.441708,0.445281,Open-Meteo ERA5-Land,reanalysis,available
242,AS/DH/83G04/2018/003,Assam,Dima Hasao,Phiding slide,25.224278,93.222861,2018-06-14,619.0,9.7437,261.8709,59.4,281.9,325.6,Open-Meteo historical weather,reanalysis,available,0.499417,0.497583,0.460917,0.517333,0.493812,Open-Meteo ERA5-Land,reanalysis,available
243,AS/NC/83G04/2009-10/AS-6,Assam,Dima Hasao,Mahur-Wadringdisa slide,25.229556,93.1556,2010-04-02,466.0,17.3363,138.7577,2.2,14.8,90.5,Open-Meteo historical weather,reanalysis,available,0.488583,0.47025,0.377583,0.429,0.441354,Open-Meteo ERA5-Land,reanalysis,available
452,AS/DH/83G04/2018/004,Assam,Dima Hasao,Dautohaja Tunnel No. 3 slide.,26.098167,91.881278,2018-06-14,83.0,5.7363,260.7266,10.3,27.1,48.1,Open-Meteo historical weather,reanalysis,available,0.492417,0.486833,0.504625,0.475958,0.489958,Open-Meteo ERA5-Land,reanalysis,available
469,AS/DH/83C16/2018/001,Assam,Dima Hasao,Bandarkhal landslide.,26.11,94.76,2018-06-14,1005.0,23.4149,0.5963,16.9,119.3,233.1,Open-Meteo historical weather,reanalysis,available,0.467917,0.4725,0.51,0.456708,0.476781,Open-Meteo ERA5-Land,reanalysis,available
474,AS/KRP/78N16/2018/001,Assam,Kamrup,Shankardev Nagar slide,26.112667,91.853889,2018-08-24,188.0,25.465,291.9569,25.0,43.0,102.4,Open-Meteo historical weather,reanalysis,available,0.476208,0.478083,0.4895,0.517708,0.490375,Open-Meteo ERA5-Land,reanalysis,available
490,ASM/KMP/78N16/2017/03,Assam,Kamrup (Metro),Anandapur-Gangapur slide,26.15428,91.79264,2017-06-13,78.0,7.8639,251.1977,30.0,118.7,123.4,Open-Meteo historical weather,reanalysis,available,0.491958,0.493458,0.508125,0.500542,0.498521,Open-Meteo ERA5-Land,reanalysis,available
503,ASM/KMP/78N16/2017/05,Assam,Kamrup (Metro),Dakshin Saraniya-1,26.17672,91.76525,2017-06-13,87.0,18.7213,286.6543,30.0,118.7,123.4,Open-Meteo historical weather,reanalysis,available,0.491958,0.493458,0.508125,0.500542,0.498521,Open-Meteo ERA5-Land,reanalysis,available
504,ASM/KMP/78N16/2017/0004,Assam,Kamrup (Metro),Dakshin Saraniya-2,26.17756,91.76589,2017-06-13,96.0,18.4368,260.92,30.0,118.7,123.4,Open-Meteo historical weather,reanalysis,available,0.491958,0.493458,0.508125,0.500542,0.498521,Open-Meteo ERA5-Land,reanalysis,available
506,ASM/KMP/78N16/2017/06,Assam,Kamrup (Metro),Bonda-Hajongdisa slide,26.18842,91.85125,2017-06-16,96.0,28.307,159.9215,43.9,69.0,186.1,Open-Meteo historical weather,reanalysis,available,0.476083,0.487167,0.49575,0.515708,0.493677,Open-Meteo ERA5-Land,reanalysis,available
513,ASM/KAM/78N16/2017/08,Assam,Kamrup (Metro),Bonda colony slide no. 2,26.19081,91.84528,2017-07-04,67.0,21.1665,312.794,35.9,138.1,245.7,Open-Meteo historical weather,reanalysis,available,0.491958,0.502,0.473042,0.516917,0.495979,Open-Meteo ERA5-Land,reanalysis,available
517,AS/KRP/78N16/2018/003,Assam,Kamrup,Hastinapur landslide,26.195306,91.765639,2018-08-24,85.0,7.0174,126.2843,20.9,74.4,121.7,Open-Meteo historical weather,reanalysis,available,0.493042,0.48875,0.514125,0.512625,0.502135,Open-Meteo ERA5-Land,reanalysis,available
519,AS/KAM/78N16/2014/05,Assam,Kamrup (Metro),Karghuli,26.19622,91.76336,2011-03-23,90.0,4.1275,90.0,0.2,0.9,64.4,Open-Meteo historical weather,reanalysis,available,0.408333,0.406625,0.319625,0.442,0.394146,Open-Meteo ERA5-Land,reanalysis,available
522,ASM/KAM/78N16/2017/09,Assam,Kamrup (Metro),Panikhaiti–Bongaon slide,26.20536,91.86497,2017-07-03,69.0,15.8468,297.144,71.1,147.9,218.8,Open-Meteo historical weather,reanalysis,available,0.484083,0.497708,0.493625,0.51725,0.498167,Open-Meteo ERA5-Land,reanalysis,available
548,ASM/KAM/78N16/2017/07,Assam,Kamrup (Metro),Bonda colony slide no. 1,26.37456,91.84561,2017-07-04,61.0,3.4033,17.688,31.6,119.4,246.0,Open-Meteo historical weather,reanalysis,available,0.466958,0.494417,0.501417,0.515208,0.4945,Open-Meteo ERA5-Land,reanalysis,available
614,AS/KAM(M)/76N16/2024/2,Assam,Kamrup (Metro),Garo Basti Slide,26.11464,91.83886,2024-07-05,175.0,17.355,328.7227,20.7,67.9,240.7,Open-Meteo historical weather,reanalysis,available,0.473792,0.500125,0.490167,0.517208,0.495323,Open-Meteo ERA5-Land,reanalysis,available
615,AS/K(M)/76N16/2024/01,Assam,Kamrup (Metro),Rudra Nagar Slide,26.19044,91.77502,2024-05-24,109.0,10.4985,209.1269,2.5,3.6,47.4,Open-Meteo historical weather,reanalysis,available,0.474708,0.453708,0.338042,0.422,0.422115,Open-Meteo ERA5-Land,reanalysis,available
623,ASM/DH/83G04/2022-23/014,Assam,Dima Hasao,South Bagetar Slide 1,25.16736,93.00953,2022-05-15,630.0,18.2765,186.9989,8.3,62.5,121.0,Open-Meteo historical weather,reanalysis,available,0.487458,0.458875,0.506542,0.456083,0.47724,Open-Meteo ERA5-Land,reanalysis,available
624,ASM/DH/83G04/2022-23/017,Assam,Dima Hasao,Kana Basti Slide 2,25.16023,93.01084,2022-05-14,591.0,20.4192,247.6368,35.3,63.1,115.7,Open-Meteo historical weather,reanalysis,available,0.460667,0.475667,0.51525,0.447333,0.474729,Open-Meteo ERA5-Land,reanalysis,available
632,ASM/DH/83G04/2022-23/015,Assam,Dima Hasao,South Bagetar Slide 2,25.16579,93.00948,2022-05-14,581.0,17.0167,222.2261,35.3,63.1,115.7,Open-Meteo historical weather,reanalysis,available,0.460667,0.475667,0.51525,0.447333,0.474729,Open-Meteo ERA5-Land,reanalysis,available
633,ASM/DH/83G04/2022-23/016,Assam,Dima Hasao,Kana Basti Slide 1,25.15859,93.01292,2022-05-14,586.0,18.1225,250.4967,35.3,63.1,115.7,Open-Meteo historical weather,reanalysis,available,0.460667,0.475667,0.51525,0.447333,0.474729,Open-Meteo ERA5-Land,reanalysis,available
634,AS/KAMRUP(M)/78N16/2014-,Assam,Kamrup (Metro),"Dakhingaon, slide.",26.13441667,91.74875,2014-09-22,107.0,7.2608,157.0956,58.2,143.6,184.9,Open-Meteo historical weather,reanalysis,available,0.475292,0.491208,0.4755,0.517583,0.489896,Open-Meteo ERA5-Land,reanalysis,available
636,AS/KAMRUP(M)/78N16/2014-,Assam,Kamrup (Metro),Ganeshpur-Lalmati Slide,26.10711111,91.78916667,2014-09-23,68.0,15.3732,90.8434,26.9,92.3,209.8,Open-Meteo historical weather,reanalysis,available,0.469292,0.494458,0.492167,0.516333,0.493062,Open-Meteo ERA5-Land,reanalysis,available
640,ASM/DH/83G04/2022-23/027,Assam,Dima Hasao,Mahadev Tilla Slide 1,25.15556,93.021583,2022-05-14,610.0,10.5355,242.8087,35.3,63.1,115.7,Open-Meteo historical weather,reanalysis,available,0.460667,0.475667,0.51525,0.447333,0.474729,Open-Meteo ERA5-Land,reanalysis,available
642,ASM/DH/83G04/2022-23/026,Assam,Dima Hasao,Lower Songpijang Slide 1,25.158138,93.024778,2022-05-15,543.0,7.4763,98.8699,8.3,62.5,121.0,Open-Meteo historical weather,reanalysis,available,0.487458,0.458875,0.506542,0.456083,0.47724,Open-Meteo ERA5-Land,reanalysis,available
643,ASM/DH/83G4/ PD/2016/55,Assam,Dima Hasao (N.C. Hills),Nutan Lampur slide -1,25.24194444,93.14319444,2016-05-22,624.0,23.2591,54.2849,3.0,89.6,151.9,Open-Meteo historical weather,reanalysis,available,0.495,0.490083,0.504625,0.515833,0.501385,Open-Meteo ERA5-Land,reanalysis,available
644,ASM/DH/83G4/ PD/2016/04,Assam,Dima Hasao (N.C. Hills),Mupa – Langting RF Rock slide,25.41733333,93.12908333,2016-05-22,387.0,3.0498,292.3205,1.9,79.1,121.6,Open-Meteo historical weather,reanalysis,available,0.472083,0.470083,0.494958,0.517292,0.488604,Open-Meteo ERA5-Land,reanalysis,available
647,ASM/DH/83G04/2022-23/025,Assam,Dima Hasao,Tularam Raji Slide 2,25.16804,93.02503,2022-05-14,485.0,21.7259,92.9108,35.3,63.1,115.7,Open-Meteo historical weather,reanalysis,available,0.460667,0.475667,0.51525,0.447333,0.474729,Open-Meteo ERA5-Land,reanalysis,available
649,ASM/DH/83G04/2022-23/044,Assam,Dima Hasao,Tularam Raji Slide 3,25.168083,93.024922,2022-05-14,485.0,21.7259,92.9108,35.3,63.1,115.7,Open-Meteo historical weather,reanalysis,available,0.460667,0.475667,0.51525,0.447333,0.474729,Open-Meteo ERA5-Land,reanalysis,available
650,ASM/DH/83G4/ PD/2016/56,Assam,Dima Hasao (N.C. Hills),Nutan Lampur slide -2,25.27480556,93.14555556,2016-05-22,497.0,12.6666,197.3791,3.0,89.6,151.9,Open-Meteo historical weather,reanalysis,available,0.480333,0.488833,0.484917,0.517458,0.492885,Open-Meteo ERA5-Land,reanalysis,available
651,ASM/DH/83G4/ PD/2016/53,Assam,Dima Hasao (N.C. Hills),Mahur railway station slide,25.18955556,93.09641667,2016-05-22,535.0,23.6625,171.1938,3.0,105.8,214.3,Open-Meteo historical weather,reanalysis,available,0.495,0.490083,0.504625,0.515833,0.501385,Open-Meteo ERA5-Land,reanalysis,available
654,ASM/KAMRUP(M)/78N16/2016-,Assam,Kamrup (Metro),Piyali Phukan Nagar Slide,26.19552778,91.78055556,2016-06-22,165.0,19.0449,143.9894,9.8,19.0,122.6,Open-Meteo historical weather,reanalysis,available,0.474458,0.488167,0.463417,0.513375,0.484854,Open-Meteo ERA5-Land,reanalysis,available
655,ASM/DH/83G04/2022-23/032,Assam,Dima Hasao,Moulhoi Slide 3,25.17483,93.019861,2022-05-15,650.0,30.4951,84.0837,8.3,62.5,121.0,Open-Meteo historical weather,reanalysis,available,0.487458,0.458875,0.506542,0.456083,0.47724,Open-Meteo ERA5-Land,reanalysis,available
656,ASM/DH/83G04/2022-23/033,Assam,Dima Hasao,Mahadev Tilla slide 2,25.1568056,93.019722,2022-05-13,638.0,25.3764,158.4315,18.9,68.0,89.6,Open-Meteo historical weather,reanalysis,available,0.475083,0.486708,0.510542,0.42775,0.475021,Open-Meteo ERA5-Land,reanalysis,available
666,ASM/DH/83G04/2022-23/047,Assam,Dima Hasao,Natun Basti Slide 5,25.162667,93.009806,2022-05-14,570.0,20.9694,291.0402,35.3,63.1,115.7,Open-Meteo historical weather,reanalysis,available,0.460667,0.475667,0.51525,0.447333,0.474729,Open-Meteo ERA5-Land,reanalysis,available
668,ASM/DH/83G4/ PD/2016 /01,Assam,Dima Hasao (N.C. Hills),Migrendisa slide,25.17986111,93.07077778,2016-05-17,512.0,5.5565,128.6077,13.2,40.7,120.0,Open-Meteo historical weather,reanalysis,available,0.486792,0.493833,0.500417,0.501,0.49551,Open-Meteo ERA5-Land,reanalysis,available
669,ASM/DH/83G4/PD/2016/02,Assam,Dima Hasao (N.C. Hills),New Haflong R. S slide(1),25.14677778,93.03097222,2016-05-17,483.0,22.3591,81.5134,13.2,40.7,120.0,Open-Meteo historical weather,reanalysis,available,0.451042,0.462333,0.449375,0.46,0.455688,Open-Meteo ERA5-Land,reanalysis,available
670,ASM/DH/83G4/ PD/2016/25,Assam,Dima Hasao,Mahadev Tila slide-2,25.15561111,93.02222222,2016-05-17,617.0,16.3853,318.0067,13.2,40.7,120.0,Open-Meteo historical weather,reanalysis,available,0.490208,0.474167,0.505042,0.501208,0.492656,Open-Meteo ERA5-Land,reanalysis,available
671,ASM/DH/83G4/PD/2016/26,Assam,Dima Hasao,Haflong-Jatinga road section slide-01,25.15658333,93.01961111,2016-05-22,624.0,24.0655,175.4062,3.0,105.8,214.3,Open-Meteo historical weather,reanalysis,available,0.481583,0.464042,0.458083,0.518,0.480427,Open-Meteo ERA5-Land,reanalysis,available
672,ASM/DH/83G4/ PD/2016/29,Assam,Dima Hasao (N.C. Hills),Haflong-Jatinga road section slide-04,25.15713889,93.01719444,2016-05-27,651.0,33.8461,190.3705,3.0,18.0,119.4,Open-Meteo historical weather,reanalysis,available,0.488417,0.486208,0.436917,0.509208,0.480187,Open-Meteo ERA5-Land,reanalysis,available
673,ASM/DH/83G4/ PD/2016/42,Assam,Dima Hasao (N.C. Hills),96 km Migrendisa slide,25.164,93.04019444,2016-05-22,450.0,17.3562,163.3738,3.0,105.8,214.3,Open-Meteo historical weather,reanalysis,available,0.481583,0.464042,0.458083,0.518,0.480427,Open-Meteo ERA5-Land,reanalysis,available
683,ASM/DH/83G4/PD/2016/43,Assam,Dima Hasao (N.C. Hills),New Haflong R.S. slide - (2),25.14872222,93.03191667,2016-05-17,451.0,27.6762,143.367,13.2,40.7,120.0,Open-Meteo historical weather,reanalysis,available,0.451042,0.462333,0.449375,0.46,0.455688,Open-Meteo ERA5-Land,reanalysis,available
684,ASM/DH/83G4/PD/2016/44,Assam,Dima Hasao (N.C. Hills),New Haflong R. S slide(3),25.14525,93.02916667,2016-05-17,542.0,29.259,98.3068,13.2,40.7,120.0,Open-Meteo historical weather,reanalysis,available,0.451042,0.462333,0.449375,0.46,0.455688,Open-Meteo ERA5-Land,reanalysis,available
685,ASM/DH/83G4/ PD/2016/24,Assam,Dima Hasao,Mahadev Tilla-1,25.15572222,93.02277778,2016-05-22,613.0,24.7827,2.2199,3.0,105.8,214.3,Open-Meteo historical weather,reanalysis,available,0.481583,0.464042,0.458083,0.518,0.480427,Open-Meteo ERA5-Land,reanalysis,available
694,ASM/DH/83G4/ PD/2016/07,Assam,Dima Hasao (N.C. Hills),Haflong – Gunjung slide-1,25.20552778,93.02013889,2016-05-22,346.0,17.385,210.0005,3.0,105.8,214.3,Open-Meteo historical weather,reanalysis,available,0.481583,0.464042,0.458083,0.518,0.480427,Open-Meteo ERA5-Land,reanalysis,available
700,AS/K(M)/76N16/2024/01,Assam,Kamrup (Metro),Rudra Nagar Slide,26.19052,91.77499,2024-05-24,109.0,10.4985,209.1269,2.5,3.6,47.4,Open-Meteo historical weather,reanalysis,available,0.474708,0.453708,0.338042,0.422,0.422115,Open-Meteo ERA5-Land,reanalysis,available
701,ASM/DH/83G4/ PD/2016/30,Assam,Dima Hasao,Gadhi Rojai Slide,25.15933333,93.017,2016-05-22,685.0,6.2113,35.1097,3.0,105.8,214.3,Open-Meteo historical weather,reanalysis,available,0.481583,0.464042,0.458083,0.518,0.480427,Open-Meteo ERA5-Land,reanalysis,available
705,ASM/DH/83G4/ PD/2016/28,Assam,Dima Hasao,Haflong-Jatinga road section slide-03,25.15736111,93.01608333,2016-05-22,641.0,27.0184,200.5313,3.0,105.8,214.3,Open-Meteo historical weather,reanalysis,available,0.481583,0.464042,0.458083,0.518,0.480427,Open-Meteo ERA5-Land,reanalysis,available
707,ASM/DH/83G4/ PD/2016/40,Assam,Dima Hasao (N.C. Hills),Lungkok slide (Haflong – Gunjung road,25.19669444,93.01858333,2016-05-22,453.0,23.4743,47.8596,3.0,105.8,214.3,Open-Meteo historical weather,reanalysis,available,0.481583,0.464042,0.458083,0.518,0.480427,Open-Meteo ERA5-Land,reanalysis,available
708,ASM/DH/83G4/ PD/2016/41,Assam,Dima Hasao (N.C. Hills),Lower Haflong slide (Haflong –,25.18844444,93.01966667,2016-05-22,522.0,26.4762,57.5696,3.0,105.8,214.3,Open-Meteo historical weather,reanalysis,available,0.481583,0.464042,0.458083,0.518,0.480427,Open-Meteo ERA5-Land,reanalysis,available
710,ASM/DH/83G4/ PD/2016/10,Assam,Dima Hasao,N.D Raji.-1,25.17597222,93.02016667,2016-05-22,590.0,28.4589,74.8515,3.0,105.8,214.3,Open-Meteo historical weather,reanalysis,available,0.481583,0.464042,0.458083,0.518,0.480427,Open-Meteo ERA5-Land,reanalysis,available
711,ASM/DH/83G4/ PD/2016/11,Assam,Dima Hasao,N.D Raji (Hamar)-2,25.17505556,93.02041667,2016-05-22,574.0,25.3901,92.9325,3.0,105.8,214.3,Open-Meteo historical weather,reanalysis,available,0.481583,0.464042,0.458083,0.518,0.480427,Open-Meteo ERA5-Land,reanalysis,available
712,ASM/DH/83G4/ PD/2016/12,Assam,Dima Hasao,"Huonveng, N.D Raji-3",25.17188889,93.02061111,2016-05-22,575.0,44.6572,74.5607,3.0,105.8,214.3,Open-Meteo historical weather,reanalysis,available,0.481583,0.464042,0.458083,0.518,0.480427,Open-Meteo ERA5-Land,reanalysis,available
713,ASM/DH/83G4/ PD/2016/13,Assam,Dima Hasao,Songpiang-1,25.16563889,93.02544444,2016-05-22,516.0,13.009,62.9072,3.0,105.8,214.3,Open-Meteo historical weather,reanalysis,available,0.481583,0.464042,0.458083,0.518,0.480427,Open-Meteo ERA5-Land,reanalysis,available
714,ASM/DH/83G4/ PD/2016/14,Assam,Dima Hasao,Songpiang-2,25.16344444,93.02316667,2016-05-22,557.0,19.5501,95.8871,3.0,105.8,214.3,Open-Meteo historical weather,reanalysis,available,0.481583,0.464042,0.458083,0.518,0.480427,Open-Meteo ERA5-Land,reanalysis,available
716,ASM/DH/83G4/ PD/2016/16,Assam,Dima Hasao,"Vidya Mandir, Boro Haflong-2",25.14586111,93.02419444,2016-05-22,704.0,18.3872,95.5893,3.0,105.8,214.3,Open-Meteo historical weather,reanalysis,available,0.431125,0.453917,0.455958,0.481333,0.455583,Open-Meteo ERA5-Land,reanalysis,available
717,ASM/DH/83G4/ PD/2016/17,Assam,Dima Hasao,"Near and below Assam rifles camp,",25.14041667,93.02038889,2016-05-22,732.0,27.2772,146.2985,3.0,105.8,214.3,Open-Meteo historical weather,reanalysis,available,0.431125,0.453917,0.455958,0.481333,0.455583,Open-Meteo ERA5-Land,reanalysis,available
718,ASM/DH/83G4/ PD/2016/18,Assam,Dima Hasao,Jatinga-Haflong Road section-1.,25.13961111,93.01955556,2016-05-22,741.0,21.1999,104.5017,3.0,105.8,214.3,Open-Meteo historical weather,reanalysis,available,0.431125,0.453917,0.455958,0.481333,0.455583,Open-Meteo ERA5-Land,reanalysis,available
722,ASM/DH/83G4/ PD/2016/23,Assam,Dima Hasao,Mahur,25.17638889,93.11613889,2016-05-22,564.0,15.4525,17.9,3.0,105.8,214.3,Open-Meteo historical weather,reanalysis,available,0.495,0.490083,0.504625,0.515833,0.501385,Open-Meteo ERA5-Land,reanalysis,available
724,ASM/DH/83G4/ PD/2016/08,Assam,Dima Hasao,Khongsai slide- 2,25.17691667,93.02655556,2016-05-22,452.0,23.3794,159.4092,3.0,105.8,214.3,Open-Meteo historical weather,reanalysis,available,0.481583,0.464042,0.458083,0.518,0.480427,Open-Meteo ERA5-Land,reanalysis,available
725,ASM/DH/83G4/ PD/2016/09,Assam,Dima Hasao,Muolhoi /Gilgal,25.17702778,93.02088889,2016-05-22,571.0,10.2271,122.5713,3.0,105.8,214.3,Open-Meteo historical weather,reanalysis,available,0.481583,0.464042,0.458083,0.518,0.480427,Open-Meteo ERA5-Land,reanalysis,available
727,ASM/DH/83G4/ PD/2016/19,Assam,Dima Hasao,Jatinga-2,25.13447222,93.01897222,2016-05-22,757.0,13.5649,114.792,3.0,105.8,214.3,Open-Meteo historical weather,reanalysis,available,0.431125,0.453917,0.455958,0.481333,0.455583,Open-Meteo ERA5-Land,reanalysis,available
728,ASM/KAM,Assam,Kamrup (Metro),"Bonda, Hajongdisa slide",26.18841667,91.85125,2017-06-16,96.0,28.307,159.9215,43.9,69.0,186.1,Open-Meteo historical weather,reanalysis,available,0.476083,0.487167,0.49575,0.515708,0.493677,Open-Meteo ERA5-Land,reanalysis,available
729,ASM/KAM(M)/78N16/2016/63,Assam,Kamrup (Metro),Mandakini slide,26.19244444,91.76422222,2016-07-20,101.0,14.1744,90.0,15.9,51.8,157.7,Open-Meteo historical weather,reanalysis,available,0.476917,0.486208,0.495,0.515333,0.493365,Open-Meteo ERA5-Land,reanalysis,available
731,ASM/KAM/78N12/2019/04,Assam,Kamrup (Metro),Bezbaruah Nagar slide,26.15805556,91.71258333,2019-07-16,85.0,18.6097,339.6266,1.8,94.5,196.0,Open-Meteo historical weather,reanalysis,available,0.486458,0.491417,0.495458,0.513958,0.496823,Open-Meteo ERA5-Land,reanalysis,available
732,ASM/West Sarania/78N16/2016-,Assam,Kamrup (Metro),West Sarania slide (Guwahati),26.1755,91.76175,2016-07-14,62.0,5.324,177.2264,10.4,29.3,133.7,Open-Meteo historical weather,reanalysis,available,0.486583,0.493458,0.500958,0.514,0.49875,Open-Meteo ERA5-Land,reanalysis,available
733,ASM/ Nijabara/78N16/2016-,Assam,Kamrup (Metro),Nijabara slide (Guwahati),26.19038889,91.80994444,2016-07-14,94.0,20.4432,357.226,10.4,29.3,133.7,Open-Meteo historical weather,reanalysis,available,0.486583,0.493458,0.500958,0.514,0.49875,Open-Meteo ERA5-Land,reanalysis,available
734,AS/KAMRUP(M)/78N16/2014-,Assam,Kamrup (Metro),"Nabragraha Slide, Bapuji Nagar",26.18866667,91.76694444,2014-06-27,111.0,10.4295,210.9663,7.0,40.5,168.1,Open-Meteo historical weather,reanalysis,available,0.475458,0.484125,0.5115,0.484875,0.48899,Open-Meteo ERA5-Land,reanalysis,available
736,AS/KAMRUP(M)/78N16/2014-,Assam,Kamrup (Metro),"Karghuli Landslide, Bankuwar Nagar,",26.19622222,91.76336111,2014-06-27,90.0,4.1275,90.0,7.0,40.5,168.1,Open-Meteo historical weather,reanalysis,available,0.475458,0.484125,0.5115,0.484875,0.48899,Open-Meteo ERA5-Land,reanalysis,available
759,AS/KAM/76N16/2024/1,Assam,Kamrup (Metro),Garo Basti Slide,26.11464,91.83886,2024-07-05,175.0,17.355,328.7227,20.7,67.9,240.7,Open-Meteo historical weather,reanalysis,available,0.473792,0.500125,0.490167,0.517208,0.495323,Open-Meteo ERA5-Land,reanalysis,available
