rainfall_24h,rainfall_3d,rainfall_7d,soil_moisture,elevation,slope,aspect,landslide,sample_source,data_type,State,Latitude,Longitude,event_date
6.5,39.5,52.8,0.486058,590.0,7.2207,277.3324,0,spatial_background_sample,spatial_background_reference,Meghalaya,25.744735,90.846718,2007-09-15
23.5,83.2,146.4,0.361277,47.0,3.5672,121.2489,0,spatial_background_sample,spatial_background_reference,Assam,24.469523,92.276716,2022-05-14
4.2,8.5,12.6,0.386482,132.0,3.1733,253.043,0,spatial_background_sample,spatial_background_reference,Tripura,23.832161,91.931542,2009-07-10
21.2,61.2,121.2,0.392781,735.0,31.6228,273.3911,1,GSI_field_inventory,observed_landslide,Mizoram,23.77166667,92.84805556,
18.0,71.5,85.8,0.405372,94.0,12.2276,325.1594,0,spatial_background_sample,spatial_background_reference,Tripura,23.904128,91.822954,2018-05-18
0.3,5.2,11.8,0.378287,61.0,6.6673,294.5181,0,spatial_background_sample,spatial_background_reference,Tripura,24.186694,91.970806,2009-07-10
134.1,220.4,311.9,0.439359,1225.0,28.8516,356.2794,0,spatial_background_sample,spatial_background_reference,Meghalaya,25.231518,92.57692,2020-05-26
0.3,5.2,11.8,0.378287,61.0,4.4569,65.4869,0,spatial_background_sample,spatial_background_reference,Tripura,24.216214,91.993346,2009-07-10
87.9,127.3,145.6,0.466048,44.0,1.3871,131.894,0,spatial_background_sample,spatial_background_reference,Assam,26.225848,91.259702,2022-05-13
11.9,30.5,150.1,0.413557,122.0,1.3953,131.5954,0,spatial_background_sample,spatial_background_reference,Assam,27.414675,94.137505,2016-05-22
0.0,8.9,175.3,0.496899,58.0,5.8324,298.3521,0,spatial_background_sample,spatial_background_reference,Assam,25.925344,90.530257,2016-05-22
32.9,61.6,122.6,0.426921,3791.0,31.1362,129.9706,0,spatial_background_sample,spatial_background_reference,Arunachal Pradesh,29.173136,95.825762,2016-07-17
50.5,118.2,200.4,0.411978,55.0,1.0344,270.0,0,spatial_background_sample,spatial_background_reference,Assam,26.424754,90.351726,2016-05-17
9.2,39.8,62.6,0.414061,4508.0,14.1204,25.858,0,spatial_background_sample,spatial_background_reference,Sikkim,27.839543,88.790433,2013-08-28
61.9,120.9,163.8,0.379417,771.0,27.3416,154.17,1,GSI_field_inventory,observed_landslide,Mizoram,23.62972222,92.72555556,
1.9,24.7,194.0,0.441795,39.0,1.3868,311.9071,0,spatial_background_sample,spatial_background_reference,Assam,26.172375,90.587953,2014-05-10
20.0,156.4,197.7,0.371513,113.0,5.6342,169.5517,0,spatial_background_sample,spatial_background_reference,Meghalaya,25.336926,89.897851,2025-05-31
13.6,29.0,54.3,0.439438,1881.0,34.266,221.0269,1,GSI_field_inventory,observed_landslide,Nagaland,26.37639,94.84056,
9.8,39.2,61.2,0.419094,3786.0,34.0094,147.0071,0,spatial_background_sample,spatial_background_reference,Arunachal Pradesh,28.338044,97.125745,2016-07-16
48.3,138.3,322.1,0.427656,3062.0,37.8961,74.3323,0,spatial_background_sample,spatial_background_reference,Arunachal Pradesh,27.799018,92.780238,2016-07-17
33.7,235.2,356.1,0.372094,950.0,25.4325,234.6403,1,GSI_field_inventory,observed_landslide,Mizoram,23.319412,92.855415,
1.5,11.3,28.0,0.404866,55.0,6.1359,81.3493,0,spatial_background_sample,spatial_background_reference,Tripura,24.098384,91.693586,2009-07-10
59.7,117.8,187.5,0.425807,1440.0,43.3797,270.0,0,spatial_background_sample,spatial_background_reference,Arunachal Pradesh,27.155233,92.880656,2016-07-16
12.6,25.4,38.7,0.471641,84.0,8.9252,294.3207,0,spatial_background_sample,spatial_background_reference,Meghalaya,25.323893,90.172438,2013-08-06
22.3,96.9,136.9,0.463159,164.0,2.1237,330.7026,0,spatial_background_sample,spatial_background_reference,Arunachal Pradesh,26.989993,93.020951,2016-07-17
59.1,147.6,231.1,0.426939,817.0,28.188,43.6049,0,spatial_background_sample,spatial_background_reference,Arunachal Pradesh,28.962562,94.974927,2016-07-17
15.3,65.4,81.7,0.404479,72.0,5.6323,190.34,0,spatial_background_sample,spatial_background_reference,Tripura,24.009202,91.932204,2018-05-18
51.2,77.0,164.9,0.424042,2264.0,30.8791,215.7872,0,spatial_background_sample,spatial_background_reference,Arunachal Pradesh,28.53165,94.768901,2016-07-17
98.1,134.1,141.3,0.362542,184.0,15.466,227.7148,1,GSI_field_inventory,observed_landslide,Mizoram,24.56925833,93.177275,
0.3,14.3,48.6,0.489603,43.0,2.2659,294.1207,0,spatial_background_sample,spatial_background_reference,Assam,26.425938,91.286344,2025-06-06
1.9,12.3,24.2,0.401341,31.0,2.0278,90.0,0,spatial_background_sample,spatial_background_reference,Tripura,24.027029,91.619164,2009-07-10
2.5,4.0,12.8,0.306393,5718.0,11.7173,20.6853,0,spatial_background_sample,spatial_background_reference,Sikkim,28.01472,88.826745,2022-10-10
75.0,138.7,180.9,0.294967,293.0,10.5101,343.4824,0,spatial_background_sample,spatial_background_reference,Mizoram,23.121686,92.411652,2024-05-28
1.9,2.8,21.5,0.31275,5525.0,16.8698,24.9791,0,spatial_background_sample,spatial_background_reference,Sikkim,27.886731,88.620205,2021-05-18
2.5,15.0,30.6,0.427561,132.0,3.8352,344.7563,0,spatial_background_sample,spatial_background_reference,Tripura,23.452973,91.614397,2009-07-10
65.0,128.9,173.2,0.379844,903.0,19.8093,179.2983,1,GSI_field_inventory,observed_landslide,Mizoram,23.45083333,92.6825,
4.3,8.5,63.6,0.37307,5285.0,38.9524,85.411,0,spatial_background_sample,spatial_background_reference,Sikkim,28.00489,88.718424,2014-08-26
16.7,43.3,59.0,0.40742,88.0,4.1096,270.0,0,spatial_background_sample,spatial_background_reference,Meghalaya,25.815573,90.090906,2014-09-20
13.7,77.8,159.8,0.42643,3149.0,29.1147,136.5385,0,spatial_background_sample,spatial_background_reference,Arunachal Pradesh,27.57979,96.882073,2016-07-17
53.0,237.4,429.3,0.484057,131.0,1.3966,228.4546,0,spatial_background_sample,spatial_background_reference,Assam,27.608032,95.552278,2022-05-15
35.5,116.7,201.1,0.427208,2485.0,27.7586,115.4745,0,spatial_background_sample,spatial_background_reference,Arunachal Pradesh,27.773314,96.678397,2016-07-17
37.5,70.1,197.8,0.428397,3797.0,60.5712,242.2761,0,spatial_background_sample,spatial_background_reference,Sikkim,27.598971,88.267099,2012-06-22
8.7,33.7,72.3,0.423743,915.0,28.0971,86.5273,0,spatial_background_sample,spatial_background_reference,Manipur,24.457249,93.475207,2007-08-28
69.7,230.0,373.6,0.470677,66.0,2.2686,245.9103,0,spatial_background_sample,spatial_background_reference,Assam,26.592742,92.347293,2022-05-15
6.3,96.9,163.6,0.413628,88.0,11.6237,288.3263,0,spatial_background_sample,spatial_background_reference,Assam,24.373598,92.376962,2016-05-22
0.7,14.9,48.6,0.492268,781.0,2.7772,0.0,0,spatial_background_sample,spatial_background_reference,Manipur,24.703577,94.028355,2011-07-06
0.3,5.2,11.8,0.379845,38.0,2.7486,227.6543,0,spatial_background_sample,spatial_background_reference,Tripura,24.301919,91.981183,2009-07-10
24.4,82.8,97.7,0.465888,44.0,12.4661,72.9884,0,spatial_background_sample,spatial_background_reference,Tripura,23.385181,91.353689,2018-05-18
37.3,131.6,201.2,0.499107,2055.0,45.0908,2.0801,0,spatial_background_sample,spatial_background_reference,Arunachal Pradesh,27.357487,96.939916,2016-07-16
1.5,11.3,28.0,0.404866,51.0,1.0149,90.0,0,spatial_background_sample,spatial_background_reference,Tripura,24.111995,91.697473,2009-07-10
4.3,28.2,47.4,0.398943,4645.0,33.6528,202.636,0,spatial_background_sample,spatial_background_reference,Sikkim,27.93129,88.620172,2012-06-26
3.0,5.0,50.0,0.471853,107.0,3.4597,36.6425,0,spatial_background_sample,spatial_background_reference,Assam,26.326835,94.001621,2020-06-02
14.3,35.3,128.7,0.41922,32.0,2.1201,150.8781,0,spatial_background_sample,spatial_background_reference,Assam,26.166773,89.773491,2010-06-20
13.8,78.6,135.9,0.425656,134.0,22.4962,269.4401,1,GSI_field_inventory,observed_landslide,Mizoram,24.65409167,93.204625,
1.5,11.3,28.0,0.402128,70.0,3.7006,0.0,0,spatial_background_sample,spatial_background_reference,Tripura,23.967302,91.823127,2009-07-10
226.1,349.6,388.4,0.499479,1713.0,33.526,61.5467,1,GSI_field_inventory,observed_landslide,Meghalaya,25.422278,91.867694,
25.0,105.8,187.0,0.427875,4437.0,40.5057,29.4594,0,spatial_background_sample,spatial_background_reference,Arunachal Pradesh,27.722608,92.499814,2016-07-16
36.9,133.2,201.7,0.491711,210.0,6.8899,311.9959,0,spatial_background_sample,spatial_background_reference,Meghalaya,25.805836,90.640238,2024-06-30
2.3,19.0,87.4,0.404682,99.0,15.2068,276.8328,0,spatial_background_sample,spatial_background_reference,Assam,26.015605,90.967269,2010-04-02
16.9,27.6,33.0,0.422128,3883.0,36.4774,344.2127,0,spatial_background_sample,spatial_background_reference,Sikkim,27.843388,88.534778,2023-10-04
1.1,3.9,7.3,0.306393,5214.0,2.7973,48.5584,0,spatial_background_sample,spatial_background_reference,Sikkim,28.004525,88.780033,2022-10-10
2.7,80.7,128.7,0.424804,1886.0,22.0739,76.1584,0,spatial_background_sample,spatial_background_reference,Manipur,25.385673,93.854934,2018-08-02
28.4,126.7,213.2,0.490463,121.0,3.4747,143.0252,0,spatial_background_sample,spatial_background_reference,Assam,27.686216,95.425719,2020-06-26
33.3,130.7,236.4,0.427597,2959.0,35.4393,178.5319,0,spatial_background_sample,spatial_background_reference,Arunachal Pradesh,27.528874,92.400464,2016-07-16
49.4,108.6,154.4,0.377302,893.0,36.5198,316.1705,1,GSI_field_inventory,observed_landslide,Mizoram,23.73055556,92.75861111,
9.3,123.7,182.4,0.388762,176.0,11.956,85.6206,0,spatial_background_sample,spatial_background_reference,Mizoram,23.218732,92.374232,2024-07-02
12.4,54.6,66.3,0.482153,288.0,13.3989,281.7497,0,spatial_background_sample,spatial_background_reference,Meghalaya,25.668996,90.614252,2019-06-27
54.1,313.9,433.5,0.379885,611.0,22.3515,192.9963,1,GSI_field_inventory,observed_landslide,Mizoram,23.209857,92.500587,
17.8,28.6,50.9,0.484734,424.0,20.7026,64.6684,0,spatial_background_sample,spatial_background_reference,Meghalaya,25.919435,90.937945,2019-06-27
7.6,9.3,30.2,0.390104,5129.0,26.4405,321.2951,0,spatial_background_sample,spatial_background_reference,Sikkim,27.872391,88.79794,2012-06-22
22.9,64.0,86.7,0.424607,2984.0,34.9541,193.7016,0,spatial_background_sample,spatial_background_reference,Arunachal Pradesh,28.486915,96.075268,2016-04-22
28.1,56.6,124.2,0.482182,223.0,2.9688,339.2858,0,spatial_background_sample,spatial_background_reference,Arunachal Pradesh,28.178591,95.661151,2016-07-17
67.8,120.5,158.2,0.379417,822.0,19.0505,283.5558,1,GSI_field_inventory,observed_landslide,Mizoram,23.62083333,92.7225,
2.7,12.2,20.0,0.392527,107.0,4.1464,257.1119,0,spatial_background_sample,spatial_background_reference,Tripura,23.759304,91.816095,2009-07-10
31.7,109.9,299.7,0.427524,2939.0,40.1544,130.6632,0,spatial_background_sample,spatial_background_reference,Arunachal Pradesh,27.836322,97.170369,2016-07-17
27.1,41.9,82.2,0.425488,3016.0,26.3596,51.6843,0,spatial_background_sample,spatial_background_reference,Arunachal Pradesh,29.146598,94.566705,2016-07-17
5.7,15.6,38.0,0.484674,27.0,5.1235,79.6103,0,spatial_background_sample,spatial_background_reference,Tripura,23.545702,91.288018,2009-07-10
4.8,15.9,31.7,0.482661,37.0,2.2172,65.314,0,spatial_background_sample,spatial_background_reference,Tripura,23.175565,91.595351,2009-07-10
16.1,23.5,92.7,0.386412,4761.0,13.7814,351.4357,0,spatial_background_sample,spatial_background_reference,Sikkim,27.704814,88.362213,2012-06-22
1.8,94.5,196.0,0.496823,85.0,18.6097,339.6266,1,GSI_field_inventory,observed_landslide,Assam,26.15805556,91.71258333,
23.4,42.9,166.2,0.489222,351.0,22.129,283.8027,0,spatial_background_sample,spatial_background_reference,Meghalaya,25.736576,90.763,2007-08-18
15.5,62.2,78.2,0.398804,131.0,16.6328,225.2799,0,spatial_background_sample,spatial_background_reference,Tripura,23.921341,91.947797,2018-05-18
31.8,60.9,90.4,0.348969,1020.0,28.151,71.0216,1,GSI_field_inventory,observed_landslide,Mizoram,23.110975,93.21260278,
2.3,10.6,25.0,0.398341,64.0,1.8523,0.0,0,spatial_background_sample,spatial_background_reference,Tripura,23.863933,91.590954,2009-07-10
5.6,9.9,28.6,0.370604,6114.0,19.9492,152.9953,0,spatial_background_sample,spatial_background_reference,Sikkim,27.994198,88.649314,2025-09-11
45.8,91.7,169.8,0.424967,1815.0,28.7604,166.4581,0,spatial_background_sample,spatial_background_reference,Arunachal Pradesh,28.271611,96.131224,2016-07-17
15.9,51.8,157.7,0.493365,101.0,14.1744,90.0,1,GSI_field_inventory,observed_landslide,Assam,26.19244444,91.76422222,
25.3,98.6,119.6,0.409088,55.0,3.4349,323.9188,0,spatial_background_sample,spatial_background_reference,Tripura,23.814496,91.490013,2018-05-18
4.8,15.9,31.7,0.482631,33.0,5.0392,156.4734,0,spatial_background_sample,spatial_background_reference,Tripura,23.253167,91.60208,2009-07-10
6.3,13.4,23.3,0.417177,4714.0,32.5069,289.2607,0,spatial_background_sample,spatial_background_reference,Sikkim,27.500946,88.292718,2014-07-08
61.7,241.3,357.7,0.381208,1037.0,38.2635,98.5574,1,GSI_field_inventory,observed_landslide,Mizoram,23.303906,92.853173,
30.0,118.7,123.4,0.498521,87.0,18.7213,286.6543,1,GSI_field_inventory,observed_landslide,Assam,26.17672,91.76525,
29.4,144.4,203.8,0.426479,1517.0,39.2272,212.0388,1,GSI_field_inventory,observed_landslide,Sikkim,27.4097,88.54371,
94.8,226.3,280.1,0.489951,600.0,4.6222,180.0,0,spatial_background_sample,spatial_background_reference,Meghalaya,25.528579,90.488072,2025-05-30
31.2,63.2,158.8,0.425751,2130.0,55.0596,30.8432,0,spatial_background_sample,spatial_background_reference,Arunachal Pradesh,28.189521,93.220539,2016-07-17
7.7,32.8,158.5,0.495281,1452.0,14.9839,169.3659,1,GSI_field_inventory,observed_landslide,Nagaland,25.66917,94.10722,
0.0,0.0,11.4,0.307871,5769.0,7.6746,32.8642,0,spatial_background_sample,spatial_background_reference,Sikkim,27.809448,88.304346,2022-05-29
1.2,24.0,184.4,0.418772,85.0,1.3905,131.7686,0,spatial_background_sample,spatial_background_reference,Assam,26.732234,92.511709,2016-05-22
12.4,26.2,71.2,0.428116,4235.0,37.3935,52.1596,0,spatial_background_sample,spatial_background_reference,Sikkim,27.876624,88.546813,2021-06-18
11.3,67.1,77.7,0.389427,22.0,2.1129,28.7727,0,spatial_background_sample,spatial_background_reference,Tripura,24.422379,92.177901,2018-05-18
21.4,54.9,210.0,0.425634,2012.0,41.357,346.7887,0,spatial_background_sample,spatial_background_reference,Arunachal Pradesh,27.859209,93.229219,2016-07-17
8.4,35.1,51.1,0.416092,1241.0,44.3149,173.5436,0,spatial_background_sample,spatial_background_reference,Arunachal Pradesh,27.911409,94.478957,2016-04-22
2.5,16.9,35.6,0.39474,5468.0,11.7071,242.0832,0,spatial_background_sample,spatial_background_reference,Sikkim,27.983789,88.728412,2012-07-17
4.8,15.9,31.7,0.482631,33.0,4.7738,320.7586,0,spatial_background_sample,spatial_background_reference,Tripura,23.330455,91.568927,2009-07-10
1.9,12.3,24.2,0.406494,17.0,2.2301,294.5327,0,spatial_background_sample,spatial_background_reference,Tripura,24.100315,91.376849,2009-07-10
41.3,64.3,115.9,0.424192,3593.0,27.4928,353.8655,0,spatial_background_sample,spatial_background_reference,Arunachal Pradesh,29.275694,94.662581,2016-07-17
58.7,127.1,139.7,0.320679,687.0,20.7395,77.6717,0,spatial_background_sample,spatial_background_reference,Mizoram,23.37574,92.520032,2024-05-28
35.5,116.7,201.1,0.427208,3084.0,46.2312,273.5521,0,spatial_background_sample,spatial_background_reference,Arunachal Pradesh,27.799541,96.720154,2016-07-17
17.6,34.6,60.2,0.481198,60.0,21.1843,267.6088,0,spatial_background_sample,spatial_background_reference,Tripura,23.266781,91.688142,2009-07-10
38.4,59.9,158.1,0.490272,68.0,0.9264,0.0,0,spatial_background_sample,spatial_background_reference,Assam,26.496643,92.961271,2018-08-24
0.5,12.3,17.5,0.396106,5202.0,10.5421,100.0073,0,spatial_background_sample,spatial_background_reference,Sikkim,28.080022,88.638216,2022-08-25
71.4,104.1,233.9,0.435668,101.0,2.247,65.6638,0,spatial_background_sample,spatial_background_reference,Meghalaya,25.236189,90.481871,2007-07-25
13.5,166.1,216.4,0.480988,70.0,2.7782,228.2083,0,spatial_background_sample,spatial_background_reference,Assam,26.639965,92.533707,2025-05-31
6.3,27.0,50.9,0.417454,420.0,21.1529,343.979,0,spatial_background_sample,spatial_background_reference,Manipur,24.700442,94.514095,2007-08-28
12.6,185.5,216.4,0.489374,156.0,1.3962,48.4395,0,spatial_background_sample,spatial_background_reference,Arunachal Pradesh,27.549876,95.888663,2016-07-17
8.4,59.7,124.8,0.363006,40.0,1.0338,270.0,0,spatial_background_sample,spatial_background_reference,Assam,26.359393,91.095551,2016-04-18
2.9,13.1,65.5,0.461391,177.0,22.8065,337.3521,0,spatial_background_sample,spatial_background_reference,Assam,26.004068,90.622697,2016-07-14
8.2,18.8,42.2,0.454188,735.0,9.7883,72.2448,1,GSI_field_inventory,observed_landslide,Mizoram,24.30768611,93.58120556,
58.2,143.6,184.9,0.489896,107.0,7.2608,157.0956,1,GSI_field_inventory,observed_landslide,Assam,26.13441667,91.74875,
44.8,115.2,284.7,0.427896,741.0,44.6624,86.2476,0,spatial_background_sample,spatial_background_reference,Arunachal Pradesh,27.698397,93.031205,2016-07-17
17.6,34.6,60.2,0.482278,97.0,6.835,324.0381,0,spatial_background_sample,spatial_background_reference,Tripura,23.238166,91.711113,2009-07-10
44.8,115.2,284.7,0.426734,1625.0,24.7333,140.5549,0,spatial_background_sample,spatial_background_reference,Arunachal Pradesh,27.874257,93.03406,2016-07-17
0.0,0.0,2.8,0.341164,5081.0,12.3891,270.0,0,spatial_background_sample,spatial_background_reference,Sikkim,27.954014,88.742102,2022-11-20
8.0,18.8,36.7,0.412205,3390.0,52.4713,298.9725,0,spatial_background_sample,spatial_background_reference,Arunachal Pradesh,28.331889,93.681537,2016-04-22
0.0,0.0,1.5,0.375115,5014.0,7.4433,8.0577,0,spatial_background_sample,spatial_background_reference,Sikkim,27.997686,88.568209,2022-11-20
9.9,23.0,71.9,0.425923,4188.0,24.7238,261.9251,0,spatial_background_sample,spatial_background_reference,Sikkim,27.537333,88.183714,2021-05-18
19.0,77.5,102.3,0.443469,25.0,5.894,19.9857,0,spatial_background_sample,spatial_background_reference,Tripura,23.575167,91.203651,2018-05-18
49.2,208.7,239.7,0.494568,92.0,6.4577,0.0,0,spatial_background_sample,spatial_background_reference,Meghalaya,25.834928,90.543945,2025-05-30
6.3,13.1,32.9,0.480016,46.0,2.1103,28.6413,0,spatial_background_sample,spatial_background_reference,Tripura,23.723916,91.298603,2009-07-10
3.6,36.3,54.9,0.372004,5392.0,28.2462,293.0337,0,spatial_background_sample,spatial_background_reference,Sikkim,27.988443,88.755842,2014-07-01
11.5,139.3,201.3,0.490891,1237.0,27.5868,187.986,0,spatial_background_sample,spatial_background_reference,Arunachal Pradesh,27.000028,92.189062,2016-07-17
49.4,108.6,154.4,0.376667,855.0,17.1407,60.9548,1,GSI_field_inventory,observed_landslide,Mizoram,23.71444444,92.72861111,
102.3,237.3,359.9,0.494765,548.0,27.5984,97.1072,0,spatial_background_sample,spatial_background_reference,Meghalaya,25.31583,90.81888,2022-06-17
1.5,11.3,28.0,0.402128,83.0,8.944,51.9432,0,spatial_background_sample,spatial_background_reference,Tripura,24.025736,91.836622,2009-07-10
50.7,165.7,247.2,0.459268,2474.0,30.366,34.1124,0,spatial_background_sample,spatial_background_reference,Arunachal Pradesh,27.652053,96.442914,2016-07-17
0.1,0.1,0.6,0.358844,834.0,19.7208,273.236,1,GSI_field_inventory,observed_landslide,Mizoram,23.66194444,92.85416667,
26.0,112.0,202.6,0.426723,1639.0,24.4395,148.642,0,spatial_background_sample,spatial_background_reference,Arunachal Pradesh,27.270183,93.325971,2016-07-17
17.1,86.3,158.3,0.482379,103.0,2.1238,150.6991,0,spatial_background_sample,spatial_background_reference,Assam,27.006137,94.891889,2016-05-17
26.6,52.6,123.6,0.425051,2062.0,25.1487,69.8535,0,spatial_background_sample,spatial_background_reference,Arunachal Pradesh,28.299024,93.689777,2016-07-17
18.1,81.5,131.1,0.40499,1126.0,19.2309,50.3527,1,GSI_field_inventory,observed_landslide,Mizoram,23.21068583,93.1212325,
7.1,39.7,84.1,0.449219,1019.0,12.5727,202.2676,1,GSI_field_inventory,observed_landslide,Mizoram,24.51785556,93.55086944,
2.5,15.0,30.6,0.484092,26.0,1.0105,90.0,0,spatial_background_sample,spatial_background_reference,Tripura,23.546951,91.520334,2009-07-10
6.1,12.6,55.4,0.3691,5171.0,31.5748,280.6124,0,spatial_background_sample,spatial_background_reference,Sikkim,27.955484,88.681124,2025-07-19
7.0,40.5,168.1,0.48899,90.0,4.1275,90.0,1,GSI_field_inventory,observed_landslide,Assam,26.19622222,91.76336111,
3.9,16.6,35.0,0.411863,4629.0,14.762,123.5234,0,spatial_background_sample,spatial_background_reference,Sikkim,27.957078,88.460014,2013-08-28
13.9,60.8,122.6,0.424682,2221.0,43.6569,178.9007,0,spatial_background_sample,spatial_background_reference,Arunachal Pradesh,27.95817,97.03054,2016-07-17
17.0,44.1,131.3,0.389156,4668.0,7.1681,154.1583,0,spatial_background_sample,spatial_background_reference,Sikkim,27.761026,88.308838,2021-05-18
49.4,108.6,154.4,0.376667,1012.0,15.5864,199.4367,1,GSI_field_inventory,observed_landslide,Mizoram,23.71523056,92.71529167,
7.0,39.2,84.1,0.301132,5037.0,14.9052,24.3264,0,spatial_background_sample,spatial_background_reference,Sikkim,27.771463,88.242944,2014-08-26
18.5,36.3,43.7,0.420674,4696.0,32.7656,154.7485,0,spatial_background_sample,spatial_background_reference,Sikkim,27.944617,88.451899,2023-10-04
49.6,190.0,242.6,0.42625,46.0,1.3894,131.8118,0,spatial_background_sample,spatial_background_reference,Assam,26.558904,91.186477,2020-07-12
1.2,4.9,15.3,0.49482,606.0,4.2302,209.0206,0,spatial_background_sample,spatial_background_reference,Meghalaya,25.675957,90.892008,2025-07-02
13.2,100.7,150.3,0.489323,679.0,2.9609,159.6952,0,spatial_background_sample,spatial_background_reference,Meghalaya,25.725112,90.924793,2014-09-23
11.2,116.2,183.5,0.427268,2593.0,33.261,350.4343,0,spatial_background_sample,spatial_background_reference,Arunachal Pradesh,27.115186,92.306161,2016-07-17
13.7,77.8,159.8,0.426055,4331.0,3.6406,120.5487,0,spatial_background_sample,spatial_background_reference,Arunachal Pradesh,27.713245,96.956917,2016-07-17
28.1,57.0,80.6,0.416827,4394.0,30.3059,54.4824,0,spatial_background_sample,spatial_background_reference,Sikkim,27.908231,88.544197,2014-07-08
0.0,6.3,185.0,0.478814,54.0,2.0693,90.0,0,spatial_background_sample,spatial_background_reference,Assam,26.484634,90.431542,2016-05-22
61.9,120.9,163.8,0.376667,997.0,25.326,267.5495,1,GSI_field_inventory,observed_landslide,Mizoram,23.67583333,92.715,
8.4,23.6,59.8,0.426976,3837.0,21.1493,250.4652,0,spatial_background_sample,spatial_background_reference,Sikkim,27.500563,88.133448,2022-10-10
6.3,13.1,32.9,0.446201,30.0,7.0758,238.5962,0,spatial_background_sample,spatial_background_reference,Tripura,23.688755,91.234128,2009-07-10
5.0,14.9,34.7,0.396973,160.0,6.7615,197.3162,0,spatial_background_sample,spatial_background_reference,Tripura,23.593061,91.757757,2009-07-10
15.3,100.9,216.6,0.425917,3975.0,43.8022,167.9295,0,spatial_background_sample,spatial_background_reference,Sikkim,27.515388,88.374025,2021-08-27
0.3,5.2,11.8,0.379845,33.0,0.9264,180.0,0,spatial_background_sample,spatial_background_reference,Tripura,24.284568,92.017045,2009-07-10
1.5,6.1,17.3,0.410801,45.0,12.0665,292.2224,0,spatial_background_sample,spatial_background_reference,Meghalaya,25.998403,90.401696,2025-07-02
25.0,74.8,115.3,0.424802,3817.0,35.7533,340.604,0,spatial_background_sample,spatial_background_reference,Arunachal Pradesh,28.461757,96.263541,2016-04-22
19.0,46.2,149.1,0.425723,1788.0,39.4333,69.2731,0,spatial_background_sample,spatial_background_reference,Arunachal Pradesh,28.00039,93.423401,2016-07-16
37.4,62.6,182.4,0.424443,26.0,1.3851,48.0289,0,spatial_background_sample,spatial_background_reference,Meghalaya,25.908552,90.06525,2007-07-25
4.7,35.6,230.3,0.493793,76.0,6.9185,311.7814,0,spatial_background_sample,spatial_background_reference,Assam,26.68112,93.382715,2016-05-22
10.1,14.6,43.7,0.396214,5351.0,23.2798,12.2778,0,spatial_background_sample,spatial_background_reference,Sikkim,27.914048,88.38093,2012-06-22
41.1,111.6,151.4,0.424168,1631.0,33.2757,324.3974,0,spatial_background_sample,spatial_background_reference,Arunachal Pradesh,27.280081,93.327442,2016-04-22
