sample_id,State,Latitude,Longitude,landslide,sample_source,background_rule,dem_tile,elevation,slope,aspect,terrain_source,terrain_source_type,terrain_status,reference_date,reference_date_source,reference_date_rule,rainfall_24h,rainfall_3d,rainfall_7d,rainfall_source,rainfall_source_type,rainfall_status,soil_moisture_0_7cm,soil_moisture_7_28cm,soil_moisture_28_100cm,soil_moisture_100_255cm,soil_moisture,soil_moisture_source,soil_moisture_source_type,soil_moisture_status
BG-00011,Arunachal Pradesh,27.607037,96.054321,0,spatial_background_sample,inside_NER_boundary_and_10km_from_GSI_inventory,N27E096,393.0,20.6062,292.7704,SRTM 1 arc-second DEM,DEM-derived,True,2016-07-17,GSI_event_date_same_state_reference,random_historical_event_date_from_same_NER_state,12.6,185.5,216.4,Open-Meteo historical weather,reanalysis,available,0.48453,0.482185,0.481423,0.509952,0.489522,Open-Meteo ERA5-Land,reanalysis,available
BG-00012,Arunachal Pradesh,27.926208,94.096374,0,spatial_background_sample,inside_NER_boundary_and_10km_from_GSI_inventory,N27E094,1354.0,10.5447,162.846,SRTM 1 arc-second DEM,DEM-derived,True,2016-07-16,GSI_event_date_same_state_reference,random_historical_event_date_from_same_NER_state,5.7,36.5,100.3,Open-Meteo historical weather,reanalysis,available,0.420899,0.421554,0.42203,0.426333,0.422704,Open-Meteo ERA5-Land,reanalysis,available
BG-00013,Sikkim,27.58948,88.091146,0,spatial_background_sample,inside_NER_boundary_and_10km_from_GSI_inventory,N27E088,6047.0,43.2113,356.66,SRTM 1 arc-second DEM,DEM-derived,True,2013-08-28,GSI_event_date_same_state_reference,random_historical_event_date_from_same_NER_state,9.4,49.0,83.4,Open-Meteo historical weather,reanalysis,available,0.435185,0.43503,0.292244,0.43,0.398115,Open-Meteo ERA5-Land,reanalysis,available
BG-00014,Tripura,23.694129,91.301479,0,spatial_background_sample,inside_NER_boundary_and_10km_from_GSI_inventory,N23E091,23.0,1.8523,0.0,SRTM 1 arc-second DEM,DEM-derived,True,2009-07-10,GSI_event_date_same_state_reference,random_historical_event_date_from_same_NER_state,6.3,13.1,32.9,Open-Meteo historical weather,reanalysis,available,0.469107,0.471244,0.498601,0.481113,0.480016,Open-Meteo ERA5-Land,reanalysis,available
BG-00015,Meghalaya,25.288734,90.025793,0,spatial_background_sample,inside_NER_boundary_and_10km_from_GSI_inventory,N25E090,38.0,3.8391,164.544,SRTM 1 arc-second DEM,DEM-derived,True,2007-07-19,GSI_event_date_same_state_reference,random_historical_event_date_from_same_NER_state,37.8,84.9,109.0,Open-Meteo historical weather,reanalysis,available,0.397643,0.389405,0.328911,0.409048,0.381251,Open-Meteo ERA5-Land,reanalysis,available
BG-00016,Nagaland,26.90073,95.183098,0,spatial_background_sample,inside_NER_boundary_and_10km_from_GSI_inventory,N26E095,742.0,17.1061,3.3776,SRTM 1 arc-second DEM,DEM-derived,True,2024-09-03,GSI_event_date_same_state_reference,random_historical_event_date_from_same_NER_state,28.2,43.1,78.2,Open-Meteo historical weather,reanalysis,available,0.475315,0.48922,0.48403,0.509167,0.489433,Open-Meteo ERA5-Land,reanalysis,available
BG-00017,Sikkim,27.691993,88.39344,0,spatial_background_sample,inside_NER_boundary_and_10km_from_GSI_inventory,N27E088,4560.0,43.4315,62.5379,SRTM 1 arc-second DEM,DEM-derived,True,2021-05-18,GSI_event_date_same_state_reference,random_historical_event_date_from_same_NER_state,21.5,42.6,121.1,Open-Meteo historical weather,reanalysis,available,0.413036,0.405804,0.316452,0.421333,0.389156,Open-Meteo ERA5-Land,reanalysis,available
BG-00018,Meghalaya,25.460756,90.527386,0,spatial_background_sample,inside_NER_boundary_and_10km_from_GSI_inventory,N25E090,804.0,4.1402,227.9218,SRTM 1 arc-second DEM,DEM-derived,True,2025-05-30,GSI_event_date_same_state_reference,random_historical_event_date_from_same_NER_state,89.7,205.1,245.3,Open-Meteo historical weather,reanalysis,available,0.479738,0.485262,0.50572,0.489083,0.489951,Open-Meteo ERA5-Land,reanalysis,available
BG-00019,Arunachal Pradesh,27.631866,92.323322,0,spatial_background_sample,inside_NER_boundary_and_10km_from_GSI_inventory,N27E092,3946.0,35.0818,337.0582,SRTM 1 arc-second DEM,DEM-derived,True,2016-07-16,GSI_event_date_same_state_reference,random_historical_event_date_from_same_NER_state,17.1,76.4,126.8,Open-Meteo historical weather,reanalysis,available,0.426345,0.426649,0.426131,0.42875,0.426969,Open-Meteo ERA5-Land,reanalysis,available
BG-00020,Sikkim,27.85859,88.819812,0,spatial_background_sample,inside_NER_boundary_and_10km_from_GSI_inventory,N27E088,4819.0,66.0298,303.1184,SRTM 1 arc-second DEM,DEM-derived,True,2025-09-11,GSI_event_date_same_state_reference,random_historical_event_date_from_same_NER_state,1.6,5.5,19.9,Open-Meteo historical weather,reanalysis,available,0.393429,0.391976,0.384732,0.399304,0.39236,Open-Meteo ERA5-Land,reanalysis,available
BG-00021,Tripura,23.899904,91.471675,0,spatial_background_sample,inside_NER_boundary_and_10km_from_GSI_inventory,N23E091,85.0,2.1109,331.326,SRTM 1 arc-second DEM,DEM-derived,True,2009-07-10,GSI_event_date_same_state_reference,random_historical_event_date_from_same_NER_state,1.9,12.3,24.2,Open-Meteo historical weather,reanalysis,available,0.407327,0.409744,0.412994,0.38094,0.402751,Open-Meteo ERA5-Land,reanalysis,available
BG-00022,Manipur,24.627918,93.949491,0,spatial_background_sample,inside_NER_boundary_and_10km_from_GSI_inventory,N24E093,771.0,0.9264,180.0,SRTM 1 arc-second DEM,DEM-derived,True,2024-07-29,GSI_event_date_same_state_reference,random_historical_event_date_from_same_NER_state,42.0,43.1,61.3,Open-Meteo historical weather,reanalysis,available,0.393905,0.398208,0.407077,0.380435,0.394906,Open-Meteo ERA5-Land,reanalysis,available
BG-00023,Tripura,23.005625,91.657811,0,spatial_background_sample,inside_NER_boundary_and_10km_from_GSI_inventory,N23E091,13.0,3.1552,287.0572,SRTM 1 arc-second DEM,DEM-derived,True,2018-05-18,GSI_event_date_same_state_reference,random_historical_event_date_from_same_NER_state,26.9,65.8,86.8,Open-Meteo historical weather,reanalysis,available,0.472101,0.48022,0.367214,0.425458,0.436249,Open-Meteo ERA5-Land,reanalysis,available
BG-00024,Arunachal Pradesh,28.082723,93.605945,0,spatial_background_sample,inside_NER_boundary_and_10km_from_GSI_inventory,N28E093,611.0,15.7936,128.9641,SRTM 1 arc-second DEM,DEM-derived,True,2016-07-17,GSI_event_date_same_state_reference,random_historical_event_date_from_same_NER_state,30.2,60.9,166.5,Open-Meteo historical weather,reanalysis,available,0.424589,0.425167,0.424625,0.42853,0.425728,Open-Meteo ERA5-Land,reanalysis,available
BG-00025,Meghalaya,25.155001,92.621139,0,spatial_background_sample,inside_NER_boundary_and_10km_from_GSI_inventory,N25E092,1304.0,16.6868,40.9592,SRTM 1 arc-second DEM,DEM-derived,True,2024-06-15,GSI_event_date_same_state_reference,random_historical_event_date_from_same_NER_state,86.4,126.3,166.3,Open-Meteo historical weather,reanalysis,available,0.48278,0.48981,0.49775,0.515363,0.496426,Open-Meteo ERA5-Land,reanalysis,available
BG-00026,Sikkim,27.684559,88.362601,0,spatial_background_sample,inside_NER_boundary_and_10km_from_GSI_inventory,N27E088,4038.0,16.3918,240.3488,SRTM 1 arc-second DEM,DEM-derived,True,2025-07-19,GSI_event_date_same_state_reference,random_historical_event_date_from_same_NER_state,11.1,15.6,52.4,Open-Meteo historical weather,reanalysis,available,0.42525,0.427988,0.413982,0.432173,0.424848,Open-Meteo ERA5-Land,reanalysis,available
BG-00027,Arunachal Pradesh,27.859209,93.229219,0,spatial_background_sample,inside_NER_boundary_and_10km_from_GSI_inventory,N27E093,2012.0,41.357,346.7887,SRTM 1 arc-second DEM,DEM-derived,True,2016-07-17,GSI_event_date_same_state_reference,random_historical_event_date_from_same_NER_state,21.4,54.9,210.0,Open-Meteo historical weather,reanalysis,available,0.424452,0.424946,0.424887,0.42825,0.425634,Open-Meteo ERA5-Land,reanalysis,available
BG-00028,Assam,26.652469,91.240384,0,spatial_background_sample,inside_NER_boundary_and_10km_from_GSI_inventory,N26E091,60.0,4.8263,220.0023,SRTM 1 arc-second DEM,DEM-derived,True,2025-05-31,GSI_event_date_same_state_reference,random_historical_event_date_from_same_NER_state,36.9,150.8,184.8,Open-Meteo historical weather,reanalysis,available,0.293429,0.287131,0.31819,0.307792,0.301635,Open-Meteo ERA5-Land,reanalysis,available
BG-00029,Sikkim,27.920509,88.427185,0,spatial_background_sample,inside_NER_boundary_and_10km_from_GSI_inventory,N27E088,4556.0,8.281,141.0485,SRTM 1 arc-second DEM,DEM-derived,True,2014-08-26,GSI_event_date_same_state_reference,random_historical_event_date_from_same_NER_state,3.1,7.0,63.3,Open-Meteo historical weather,reanalysis,available,0.428893,0.426661,0.428821,0.429,0.428344,Open-Meteo ERA5-Land,reanalysis,available
BG-00030,Arunachal Pradesh,29.011599,95.955659,0,spatial_background_sample,inside_NER_boundary_and_10km_from_GSI_inventory,N29E095,2619.0,40.0717,289.0724,SRTM 1 arc-second DEM,DEM-derived,True,2016-07-17,GSI_event_date_same_state_reference,random_historical_event_date_from_same_NER_state,37.8,68.3,137.9,Open-Meteo historical weather,reanalysis,available,0.425399,0.425863,0.425649,0.427077,0.425997,Open-Meteo ERA5-Land,reanalysis,available
BG-00031,Arunachal Pradesh,28.116156,96.037986,0,spatial_background_sample,inside_NER_boundary_and_10km_from_GSI_inventory,N28E096,1634.0,42.1483,15.267,SRTM 1 arc-second DEM,DEM-derived,True,2016-07-16,GSI_event_date_same_state_reference,random_historical_event_date_from_same_NER_state,24.4,93.5,135.0,Open-Meteo historical weather,reanalysis,available,0.42356,0.423446,0.417673,0.424024,0.422176,Open-Meteo ERA5-Land,reanalysis,available
BG-00032,Arunachal Pradesh,29.049785,95.96562,0,spatial_background_sample,inside_NER_boundary_and_10km_from_GSI_inventory,N29E095,3784.0,14.883,115.2074,SRTM 1 arc-second DEM,DEM-derived,True,2016-07-17,GSI_event_date_same_state_reference,random_historical_event_date_from_same_NER_state,37.8,68.3,137.9,Open-Meteo historical weather,reanalysis,available,0.424381,0.42447,0.423083,0.425726,0.424415,Open-Meteo ERA5-Land,reanalysis,available
BG-00033,Assam,27.35987,94.274834,0,spatial_background_sample,inside_NER_boundary_and_10km_from_GSI_inventory,N27E094,97.0,1.3949,48.3905,SRTM 1 arc-second DEM,DEM-derived,True,2022-05-14,GSI_event_date_same_state_reference,random_historical_event_date_from_same_NER_state,53.8,195.9,256.8,Open-Meteo historical weather,reanalysis,available,0.38444,0.382815,0.401917,0.410452,0.394906,Open-Meteo ERA5-Land,reanalysis,available
BG-00034,Meghalaya,25.385594,90.446614,0,spatial_background_sample,inside_NER_boundary_and_10km_from_GSI_inventory,N25E090,338.0,18.5775,136.1902,SRTM 1 arc-second DEM,DEM-derived,True,2007-08-18,GSI_event_date_same_state_reference,random_historical_event_date_from_same_NER_state,7.9,27.9,170.4,Open-Meteo historical weather,reanalysis,available,0.483268,0.485054,0.478381,0.510815,0.489379,Open-Meteo ERA5-Land,reanalysis,available
BG-00035,Assam,26.878582,92.205133,0,spatial_background_sample,inside_NER_boundary_and_10km_from_GSI_inventory,N26E092,189.0,4.168,131.7319,SRTM 1 arc-second DEM,DEM-derived,True,2018-08-24,GSI_event_date_same_state_reference,random_historical_event_date_from_same_NER_state,18.6,47.2,71.5,Open-Meteo historical weather,reanalysis,available,0.327923,0.322875,0.28825,0.350887,0.322484,Open-Meteo ERA5-Land,reanalysis,available
BG-00036,Sikkim,27.951106,88.550103,0,spatial_background_sample,inside_NER_boundary_and_10km_from_GSI_inventory,N27E088,4936.0,12.1458,58.2697,SRTM 1 arc-second DEM,DEM-derived,True,2012-07-17,GSI_event_date_same_state_reference,random_historical_event_date_from_same_NER_state,0.9,16.3,30.3,Open-Meteo historical weather,reanalysis,available,0.42847,0.428863,0.428887,0.394625,0.420211,Open-Meteo ERA5-Land,reanalysis,available
BG-00037,Meghalaya,25.735235,90.020113,0,spatial_background_sample,inside_NER_boundary_and_10km_from_GSI_inventory,N25E090,67.0,4.2307,150.9673,SRTM 1 arc-second DEM,DEM-derived,True,2017-06-17,GSI_event_date_same_state_reference,random_historical_event_date_from_same_NER_state,3.5,40.1,121.9,Open-Meteo historical weather,reanalysis,available,0.416827,0.421958,0.419143,0.428923,0.421713,Open-Meteo ERA5-Land,reanalysis,available
BG-00038,Manipur,25.367854,93.795523,0,spatial_background_sample,inside_NER_boundary_and_10km_from_GSI_inventory,N25E093,1538.0,28.6329,332.6852,SRTM 1 arc-second DEM,DEM-derived,True,2018-08-02,GSI_event_date_same_state_reference,random_historical_event_date_from_same_NER_state,2.4,64.7,89.1,Open-Meteo historical weather,reanalysis,available,0.421286,0.42206,0.422327,0.427554,0.423307,Open-Meteo ERA5-Land,reanalysis,available
BG-00039,Arunachal Pradesh,27.340902,93.436788,0,spatial_background_sample,inside_NER_boundary_and_10km_from_GSI_inventory,N27E093,2041.0,15.3366,340.6181,SRTM 1 arc-second DEM,DEM-derived,True,2016-07-17,GSI_event_date_same_state_reference,random_historical_event_date_from_same_NER_state,13.0,67.2,135.3,Open-Meteo historical weather,reanalysis,available,0.426738,0.427149,0.427054,0.428857,0.427449,Open-Meteo ERA5-Land,reanalysis,available
BG-00040,Sikkim,27.55255,88.266298,0,spatial_background_sample,inside_NER_boundary_and_10km_from_GSI_inventory,N27E088,4291.0,56.7829,116.4039,SRTM 1 arc-second DEM,DEM-derived,True,2022-08-25,GSI_event_date_same_state_reference,random_historical_event_date_from_same_NER_state,5.7,9.7,29.0,Open-Meteo historical weather,reanalysis,available,0.398083,0.400435,0.411387,0.431601,0.410376,Open-Meteo ERA5-Land,reanalysis,available
BG-00041,Tripura,23.502792,91.726102,0,spatial_background_sample,inside_NER_boundary_and_10km_from_GSI_inventory,N23E091,89.0,14.0295,154.9513,SRTM 1 arc-second DEM,DEM-derived,True,2009-07-10,GSI_event_date_same_state_reference,random_historical_event_date_from_same_NER_state,5.0,14.9,34.7,Open-Meteo historical weather,reanalysis,available,0.412095,0.413494,0.411333,0.348351,0.396318,Open-Meteo ERA5-Land,reanalysis,available
BG-00042,Nagaland,25.605767,93.505175,0,spatial_background_sample,inside_NER_boundary_and_10km_from_GSI_inventory,N25E093,298.0,12.197,221.577,SRTM 1 arc-second DEM,DEM-derived,True,2018-08-23,GSI_event_date_same_state_reference,random_historical_event_date_from_same_NER_state,1.1,17.3,22.9,Open-Meteo historical weather,reanalysis,available,0.485881,0.490357,0.50131,0.493768,0.492829,Open-Meteo ERA5-Land,reanalysis,available
BG-00043,Manipur,24.471901,93.952671,0,spatial_background_sample,inside_NER_boundary_and_10km_from_GSI_inventory,N24E093,770.0,4.122,47.6926,SRTM 1 arc-second DEM,DEM-derived,True,2018-05-03,GSI_event_date_same_state_reference,random_historical_event_date_from_same_NER_state,8.0,13.8,29.1,Open-Meteo historical weather,reanalysis,available,0.393804,0.317804,0.309024,0.436875,0.364376,Open-Meteo ERA5-Land,reanalysis,available
BG-00044,Arunachal Pradesh,26.989993,93.020951,0,spatial_background_sample,inside_NER_boundary_and_10km_from_GSI_inventory,N26E093,164.0,2.1237,330.7026,SRTM 1 arc-second DEM,DEM-derived,True,2016-07-17,GSI_event_date_same_state_reference,random_historical_event_date_from_same_NER_state,22.3,96.9,136.9,Open-Meteo historical weather,reanalysis,available,0.460685,0.463601,0.452,0.476351,0.463159,Open-Meteo ERA5-Land,reanalysis,available
BG-00045,Arunachal Pradesh,27.155233,92.880656,0,spatial_background_sample,inside_NER_boundary_and_10km_from_GSI_inventory,N27E092,1440.0,43.3797,270.0,SRTM 1 arc-second DEM,DEM-derived,True,2016-07-16,GSI_event_date_same_state_reference,random_historical_event_date_from_same_NER_state,59.7,117.8,187.5,Open-Meteo historical weather,reanalysis,available,0.42581,0.426071,0.424446,0.426899,0.425807,Open-Meteo ERA5-Land,reanalysis,available
BG-00046,Tripura,24.134929,91.903821,0,spatial_background_sample,inside_NER_boundary_and_10km_from_GSI_inventory,N24E091,247.0,12.8133,321.4474,SRTM 1 arc-second DEM,DEM-derived,True,2018-05-18,GSI_event_date_same_state_reference,random_historical_event_date_from_same_NER_state,8.9,60.9,75.1,Open-Meteo historical weather,reanalysis,available,0.421071,0.422149,0.417994,0.359952,0.405292,Open-Meteo ERA5-Land,reanalysis,available
BG-00047,Sikkim,27.499978,88.758553,0,spatial_background_sample,inside_NER_boundary_and_10km_from_GSI_inventory,N27E088,4287.0,39.8692,31.5888,SRTM 1 arc-second DEM,DEM-derived,True,2025-09-11,GSI_event_date_same_state_reference,random_historical_event_date_from_same_NER_state,22.7,49.3,112.6,Open-Meteo historical weather,reanalysis,available,0.424482,0.4255,0.426315,0.428506,0.426201,Open-Meteo ERA5-Land,reanalysis,available
BG-00048,Assam,26.518118,91.628355,0,spatial_background_sample,inside_NER_boundary_and_10km_from_GSI_inventory,N26E091,65.0,2.7772,0.0,SRTM 1 arc-second DEM,DEM-derived,True,2010-06-16,GSI_event_date_same_state_reference,random_historical_event_date_from_same_NER_state,17.8,25.3,37.5,Open-Meteo historical weather,reanalysis,available,0.482065,0.480583,0.449238,0.512083,0.480993,Open-Meteo ERA5-Land,reanalysis,available
BG-00049,Tripura,23.97405,91.705946,0,spatial_background_sample,inside_NER_boundary_and_10km_from_GSI_inventory,N23E091,58.0,1.3732,312.4189,SRTM 1 arc-second DEM,DEM-derived,True,2018-05-18,GSI_event_date_same_state_reference,random_historical_event_date_from_same_NER_state,8.6,60.8,75.4,Open-Meteo historical weather,reanalysis,available,0.422286,0.423387,0.420607,0.36875,0.408757,Open-Meteo ERA5-Land,reanalysis,available
BG-00050,Assam,26.706452,91.804838,0,spatial_background_sample,inside_NER_boundary_and_10km_from_GSI_inventory,N26E091,104.0,2.9639,339.5375,SRTM 1 arc-second DEM,DEM-derived,True,2020-06-02,GSI_event_date_same_state_reference,random_historical_event_date_from_same_NER_state,22.3,36.8,92.0,Open-Meteo historical weather,reanalysis,available,0.461226,0.470125,0.486435,0.508405,0.481548,Open-Meteo ERA5-Land,reanalysis,available
BG-00051,Meghalaya,25.871522,90.160478,0,spatial_background_sample,inside_NER_boundary_and_10km_from_GSI_inventory,N25E090,102.0,11.3863,15.5278,SRTM 1 arc-second DEM,DEM-derived,True,2025-05-31,GSI_event_date_same_state_reference,random_historical_event_date_from_same_NER_state,12.8,117.7,154.6,Open-Meteo historical weather,reanalysis,available,0.417595,0.421548,0.430012,0.366464,0.408905,Open-Meteo ERA5-Land,reanalysis,available
BG-00052,Assam,26.124669,90.041128,0,spatial_background_sample,inside_NER_boundary_and_10km_from_GSI_inventory,N26E090,30.0,1.3865,48.0813,SRTM 1 arc-second DEM,DEM-derived,True,2014-09-22,GSI_event_date_same_state_reference,random_historical_event_date_from_same_NER_state,40.5,109.8,141.3,Open-Meteo historical weather,reanalysis,available,0.480333,0.482476,0.496565,0.511476,0.492713,Open-Meteo ERA5-Land,reanalysis,available
BG-00053,Arunachal Pradesh,28.613542,94.116027,0,spatial_background_sample,inside_NER_boundary_and_10km_from_GSI_inventory,N28E094,1956.0,7.4442,8.1039,SRTM 1 arc-second DEM,DEM-derived,True,2016-07-17,GSI_event_date_same_state_reference,random_historical_event_date_from_same_NER_state,26.4,59.8,149.4,Open-Meteo historical weather,reanalysis,available,0.424738,0.425768,0.423423,0.428738,0.425667,Open-Meteo ERA5-Land,reanalysis,available
BG-00054,Mizoram,22.743058,93.093954,0,spatial_background_sample,inside_NER_boundary_and_10km_from_GSI_inventory,N22E093,645.0,15.6134,305.3527,SRTM 1 arc-second DEM,DEM-derived,True,2025-05-31,GSI_event_date_same_state_reference,random_historical_event_date_from_same_NER_state,13.1,70.1,180.5,Open-Meteo historical weather,reanalysis,available,0.415768,0.401298,0.26522,0.305,0.346821,Open-Meteo ERA5-Land,reanalysis,available
BG-00055,Tripura,24.077446,91.738901,0,spatial_background_sample,inside_NER_boundary_and_10km_from_GSI_inventory,N24E091,135.0,22.9642,147.0882,SRTM 1 arc-second DEM,DEM-derived,True,2009-07-10,GSI_event_date_same_state_reference,random_historical_event_date_from_same_NER_state,1.5,11.3,28.0,Open-Meteo historical weather,reanalysis,available,0.40553,0.408595,0.413196,0.392143,0.404866,Open-Meteo ERA5-Land,reanalysis,available
BG-00056,Arunachal Pradesh,28.007093,93.983326,0,spatial_background_sample,inside_NER_boundary_and_10km_from_GSI_inventory,N28E093,1570.0,29.7351,111.5926,SRTM 1 arc-second DEM,DEM-derived,True,2016-07-17,GSI_event_date_same_state_reference,random_historical_event_date_from_same_NER_state,15.0,29.0,106.3,Open-Meteo historical weather,reanalysis,available,0.421286,0.421732,0.421804,0.426333,0.422789,Open-Meteo ERA5-Land,reanalysis,available
BG-00057,Assam,26.435086,90.903103,0,spatial_background_sample,inside_NER_boundary_and_10km_from_GSI_inventory,N26E090,45.0,0.9264,0.0,SRTM 1 arc-second DEM,DEM-derived,True,2016-05-18,GSI_event_date_same_state_reference,random_historical_event_date_from_same_NER_state,52.5,217.0,370.4,Open-Meteo historical weather,reanalysis,available,0.426381,0.426363,0.425952,0.429595,0.427073,Open-Meteo ERA5-Land,reanalysis,available
BG-00058,Manipur,24.662978,94.505686,0,spatial_background_sample,inside_NER_boundary_and_10km_from_GSI_inventory,N24E094,646.0,19.5931,197.4528,SRTM 1 arc-second DEM,DEM-derived,True,2008-06-19,GSI_event_date_same_state_reference,random_historical_event_date_from_same_NER_state,8.3,55.0,163.8,Open-Meteo historical weather,reanalysis,available,0.426524,0.427768,0.426381,0.366143,0.411704,Open-Meteo ERA5-Land,reanalysis,available
BG-00059,Assam,26.681735,92.138303,0,spatial_background_sample,inside_NER_boundary_and_10km_from_GSI_inventory,N26E092,88.0,2.0728,90.0,SRTM 1 arc-second DEM,DEM-derived,True,2022-05-14,GSI_event_date_same_state_reference,random_historical_event_date_from_same_NER_state,74.9,238.0,302.5,Open-Meteo historical weather,reanalysis,available,0.452179,0.445958,0.467446,0.439667,0.451313,Open-Meteo ERA5-Land,reanalysis,available
BG-00060,Arunachal Pradesh,28.597955,93.532134,0,spatial_background_sample,inside_NER_boundary_and_10km_from_GSI_inventory,N28E093,4850.0,33.5944,59.2569,SRTM 1 arc-second DEM,DEM-derived,True,2016-07-17,GSI_event_date_same_state_reference,random_historical_event_date_from_same_NER_state,10.9,28.1,79.0,Open-Meteo historical weather,reanalysis,available,0.422286,0.422905,0.423589,0.427071,0.423963,Open-Meteo ERA5-Land,reanalysis,available
BG-00061,Sikkim,27.973952,88.785422,0,spatial_background_sample,inside_NER_boundary_and_10km_from_GSI_inventory,N27E088,5408.0,26.5369,132.8403,SRTM 1 arc-second DEM,DEM-derived,True,2014-06-24,GSI_event_date_same_state_reference,random_historical_event_date_from_same_NER_state,4.7,23.6,33.6,Open-Meteo historical weather,reanalysis,available,0.394768,0.40006,0.373649,0.291375,0.364963,Open-Meteo ERA5-Land,reanalysis,available
