sample_id,State,Latitude,Longitude,landslide,sample_source,background_rule,dem_tile,elevation,slope,aspect,terrain_source,terrain_source_type,terrain_status,reference_date,reference_date_source,reference_date_rule
BG-00012,Arunachal Pradesh,27.926208,94.096374,0,spatial_background_sample,inside_NER_boundary_and_10km_from_GSI_inventory,N27E094,1354.0,10.5447,162.846,SRTM 1 arc-second DEM,DEM-derived,True,2016-07-16,GSI_event_date_same_state_reference,random_historical_event_date_from_same_NER_state
BG-00013,Sikkim,27.58948,88.091146,0,spatial_background_sample,inside_NER_boundary_and_10km_from_GSI_inventory,N27E088,6047.0,43.2113,356.66,SRTM 1 arc-second DEM,DEM-derived,True,2013-08-28,GSI_event_date_same_state_reference,random_historical_event_date_from_same_NER_state
BG-00014,Tripura,23.694129,91.301479,0,spatial_background_sample,inside_NER_boundary_and_10km_from_GSI_inventory,N23E091,23.0,1.8523,0.0,SRTM 1 arc-second DEM,DEM-derived,True,2009-07-10,GSI_event_date_same_state_reference,random_historical_event_date_from_same_NER_state
BG-00015,Meghalaya,25.288734,90.025793,0,spatial_background_sample,inside_NER_boundary_and_10km_from_GSI_inventory,N25E090,38.0,3.8391,164.544,SRTM 1 arc-second DEM,DEM-derived,True,2007-07-19,GSI_event_date_same_state_reference,random_historical_event_date_from_same_NER_state
BG-00016,Nagaland,26.90073,95.183098,0,spatial_background_sample,inside_NER_boundary_and_10km_from_GSI_inventory,N26E095,742.0,17.1061,3.3776,SRTM 1 arc-second DEM,DEM-derived,True,2024-09-03,GSI_event_date_same_state_reference,random_historical_event_date_from_same_NER_state
BG-00017,Sikkim,27.691993,88.39344,0,spatial_background_sample,inside_NER_boundary_and_10km_from_GSI_inventory,N27E088,4560.0,43.4315,62.5379,SRTM 1 arc-second DEM,DEM-derived,True,2021-05-18,GSI_event_date_same_state_reference,random_historical_event_date_from_same_NER_state
BG-00018,Meghalaya,25.460756,90.527386,0,spatial_background_sample,inside_NER_boundary_and_10km_from_GSI_inventory,N25E090,804.0,4.1402,227.9218,SRTM 1 arc-second DEM,DEM-derived,True,2025-05-30,GSI_event_date_same_state_reference,random_historical_event_date_from_same_NER_state
BG-00019,Arunachal Pradesh,27.631866,92.323322,0,spatial_background_sample,inside_NER_boundary_and_10km_from_GSI_inventory,N27E092,3946.0,35.0818,337.0582,SRTM 1 arc-second DEM,DEM-derived,True,2016-07-16,GSI_event_date_same_state_reference,random_historical_event_date_from_same_NER_state
BG-00020,Sikkim,27.85859,88.819812,0,spatial_background_sample,inside_NER_boundary_and_10km_from_GSI_inventory,N27E088,4819.0,66.0298,303.1184,SRTM 1 arc-second DEM,DEM-derived,True,2025-09-11,GSI_event_date_same_state_reference,random_historical_event_date_from_same_NER_state
BG-00021,Tripura,23.899904,91.471675,0,spatial_background_sample,inside_NER_boundary_and_10km_from_GSI_inventory,N23E091,85.0,2.1109,331.326,SRTM 1 arc-second DEM,DEM-derived,True,2009-07-10,GSI_event_date_same_state_reference,random_historical_event_date_from_same_NER_state
BG-00022,Manipur,24.627918,93.949491,0,spatial_background_sample,inside_NER_boundary_and_10km_from_GSI_inventory,N24E093,771.0,0.9264,180.0,SRTM 1 arc-second DEM,DEM-derived,True,2024-07-29,GSI_event_date_same_state_reference,random_historical_event_date_from_same_NER_state
BG-00023,Tripura,23.005625,91.657811,0,spatial_background_sample,inside_NER_boundary_and_10km_from_GSI_inventory,N23E091,13.0,3.1552,287.0572,SRTM 1 arc-second DEM,DEM-derived,True,2018-05-18,GSI_event_date_same_state_reference,random_historical_event_date_from_same_NER_state
BG-00024,Arunachal Pradesh,28.082723,93.605945,0,spatial_background_sample,inside_NER_boundary_and_10km_from_GSI_inventory,N28E093,611.0,15.7936,128.9641,SRTM 1 arc-second DEM,DEM-derived,True,2016-07-17,GSI_event_date_same_state_reference,random_historical_event_date_from_same_NER_state
BG-00025,Meghalaya,25.155001,92.621139,0,spatial_background_sample,inside_NER_boundary_and_10km_from_GSI_inventory,N25E092,1304.0,16.6868,40.9592,SRTM 1 arc-second DEM,DEM-derived,True,2024-06-15,GSI_event_date_same_state_reference,random_historical_event_date_from_same_NER_state
BG-00026,Sikkim,27.684559,88.362601,0,spatial_background_sample,inside_NER_boundary_and_10km_from_GSI_inventory,N27E088,4038.0,16.3918,240.3488,SRTM 1 arc-second DEM,DEM-derived,True,2025-07-19,GSI_event_date_same_state_reference,random_historical_event_date_from_same_NER_state
BG-00027,Arunachal Pradesh,27.859209,93.229219,0,spatial_background_sample,inside_NER_boundary_and_10km_from_GSI_inventory,N27E093,2012.0,41.357,346.7887,SRTM 1 arc-second DEM,DEM-derived,True,2016-07-17,GSI_event_date_same_state_reference,random_historical_event_date_from_same_NER_state
BG-00028,Assam,26.652469,91.240384,0,spatial_background_sample,inside_NER_boundary_and_10km_from_GSI_inventory,N26E091,60.0,4.8263,220.0023,SRTM 1 arc-second DEM,DEM-derived,True,2025-05-31,GSI_event_date_same_state_reference,random_historical_event_date_from_same_NER_state
BG-00029,Sikkim,27.920509,88.427185,0,spatial_background_sample,inside_NER_boundary_and_10km_from_GSI_inventory,N27E088,4556.0,8.281,141.0485,SRTM 1 arc-second DEM,DEM-derived,True,2014-08-26,GSI_event_date_same_state_reference,random_historical_event_date_from_same_NER_state
BG-00030,Arunachal Pradesh,29.011599,95.955659,0,spatial_background_sample,inside_NER_boundary_and_10km_from_GSI_inventory,N29E095,2619.0,40.0717,289.0724,SRTM 1 arc-second DEM,DEM-derived,True,2016-07-17,GSI_event_date_same_state_reference,random_historical_event_date_from_same_NER_state
BG-00031,Arunachal Pradesh,28.116156,96.037986,0,spatial_background_sample,inside_NER_boundary_and_10km_from_GSI_inventory,N28E096,1634.0,42.1483,15.267,SRTM 1 arc-second DEM,DEM-derived,True,2016-07-16,GSI_event_date_same_state_reference,random_historical_event_date_from_same_NER_state
BG-00032,Arunachal Pradesh,29.049785,95.96562,0,spatial_background_sample,inside_NER_boundary_and_10km_from_GSI_inventory,N29E095,3784.0,14.883,115.2074,SRTM 1 arc-second DEM,DEM-derived,True,2016-07-17,GSI_event_date_same_state_reference,random_historical_event_date_from_same_NER_state
BG-00033,Assam,27.35987,94.274834,0,spatial_background_sample,inside_NER_boundary_and_10km_from_GSI_inventory,N27E094,97.0,1.3949,48.3905,SRTM 1 arc-second DEM,DEM-derived,True,2022-05-14,GSI_event_date_same_state_reference,random_historical_event_date_from_same_NER_state
BG-00034,Meghalaya,25.385594,90.446614,0,spatial_background_sample,inside_NER_boundary_and_10km_from_GSI_inventory,N25E090,338.0,18.5775,136.1902,SRTM 1 arc-second DEM,DEM-derived,True,2007-08-18,GSI_event_date_same_state_reference,random_historical_event_date_from_same_NER_state
BG-00035,Assam,26.878582,92.205133,0,spatial_background_sample,inside_NER_boundary_and_10km_from_GSI_inventory,N26E092,189.0,4.168,131.7319,SRTM 1 arc-second DEM,DEM-derived,True,2018-08-24,GSI_event_date_same_state_reference,random_historical_event_date_from_same_NER_state
BG-00036,Sikkim,27.951106,88.550103,0,spatial_background_sample,inside_NER_boundary_and_10km_from_GSI_inventory,N27E088,4936.0,12.1458,58.2697,SRTM 1 arc-second DEM,DEM-derived,True,2012-07-17,GSI_event_date_same_state_reference,random_historical_event_date_from_same_NER_state
BG-00037,Meghalaya,25.735235,90.020113,0,spatial_background_sample,inside_NER_boundary_and_10km_from_GSI_inventory,N25E090,67.0,4.2307,150.9673,SRTM 1 arc-second DEM,DEM-derived,True,2017-06-17,GSI_event_date_same_state_reference,random_historical_event_date_from_same_NER_state
BG-00038,Manipur,25.367854,93.795523,0,spatial_background_sample,inside_NER_boundary_and_10km_from_GSI_inventory,N25E093,1538.0,28.6329,332.6852,SRTM 1 arc-second DEM,DEM-derived,True,2018-08-02,GSI_event_date_same_state_reference,random_historical_event_date_from_same_NER_state
BG-00039,Arunachal Pradesh,27.340902,93.436788,0,spatial_background_sample,inside_NER_boundary_and_10km_from_GSI_inventory,N27E093,2041.0,15.3366,340.6181,SRTM 1 arc-second DEM,DEM-derived,True,2016-07-17,GSI_event_date_same_state_reference,random_historical_event_date_from_same_NER_state
BG-00040,Sikkim,27.55255,88.266298,0,spatial_background_sample,inside_NER_boundary_and_10km_from_GSI_inventory,N27E088,4291.0,56.7829,116.4039,SRTM 1 arc-second DEM,DEM-derived,True,2022-08-25,GSI_event_date_same_state_reference,random_historical_event_date_from_same_NER_state
BG-00041,Tripura,23.502792,91.726102,0,spatial_background_sample,inside_NER_boundary_and_10km_from_GSI_inventory,N23E091,89.0,14.0295,154.9513,SRTM 1 arc-second DEM,DEM-derived,True,2009-07-10,GSI_event_date_same_state_reference,random_historical_event_date_from_same_NER_state
BG-00042,Nagaland,25.605767,93.505175,0,spatial_background_sample,inside_NER_boundary_and_10km_from_GSI_inventory,N25E093,298.0,12.197,221.577,SRTM 1 arc-second DEM,DEM-derived,True,2018-08-23,GSI_event_date_same_state_reference,random_historical_event_date_from_same_NER_state
BG-00043,Manipur,24.471901,93.952671,0,spatial_background_sample,inside_NER_boundary_and_10km_from_GSI_inventory,N24E093,770.0,4.122,47.6926,SRTM 1 arc-second DEM,DEM-derived,True,2018-05-03,GSI_event_date_same_state_reference,random_historical_event_date_from_same_NER_state
BG-00044,Arunachal Pradesh,26.989993,93.020951,0,spatial_background_sample,inside_NER_boundary_and_10km_from_GSI_inventory,N26E093,164.0,2.1237,330.7026,SRTM 1 arc-second DEM,DEM-derived,True,2016-07-17,GSI_event_date_same_state_reference,random_historical_event_date_from_same_NER_state
BG-00045,Arunachal Pradesh,27.155233,92.880656,0,spatial_background_sample,inside_NER_boundary_and_10km_from_GSI_inventory,N27E092,1440.0,43.3797,270.0,SRTM 1 arc-second DEM,DEM-derived,True,2016-07-16,GSI_event_date_same_state_reference,random_historical_event_date_from_same_NER_state
BG-00046,Tripura,24.134929,91.903821,0,spatial_background_sample,inside_NER_boundary_and_10km_from_GSI_inventory,N24E091,247.0,12.8133,321.4474,SRTM 1 arc-second DEM,DEM-derived,True,2018-05-18,GSI_event_date_same_state_reference,random_historical_event_date_from_same_NER_state
BG-00047,Sikkim,27.499978,88.758553,0,spatial_background_sample,inside_NER_boundary_and_10km_from_GSI_inventory,N27E088,4287.0,39.8692,31.5888,SRTM 1 arc-second DEM,DEM-derived,True,2025-09-11,GSI_event_date_same_state_reference,random_historical_event_date_from_same_NER_state
BG-00048,Assam,26.518118,91.628355,0,spatial_background_sample,inside_NER_boundary_and_10km_from_GSI_inventory,N26E091,65.0,2.7772,0.0,SRTM 1 arc-second DEM,DEM-derived,True,2010-06-16,GSI_event_date_same_state_reference,random_historical_event_date_from_same_NER_state
BG-00049,Tripura,23.97405,91.705946,0,spatial_background_sample,inside_NER_boundary_and_10km_from_GSI_inventory,N23E091,58.0,1.3732,312.4189,SRTM 1 arc-second DEM,DEM-derived,True,2018-05-18,GSI_event_date_same_state_reference,random_historical_event_date_from_same_NER_state
BG-00050,Assam,26.706452,91.804838,0,spatial_background_sample,inside_NER_boundary_and_10km_from_GSI_inventory,N26E091,104.0,2.9639,339.5375,SRTM 1 arc-second DEM,DEM-derived,True,2020-06-02,GSI_event_date_same_state_reference,random_historical_event_date_from_same_NER_state
BG-00051,Meghalaya,25.871522,90.160478,0,spatial_background_sample,inside_NER_boundary_and_10km_from_GSI_inventory,N25E090,102.0,11.3863,15.5278,SRTM 1 arc-second DEM,DEM-derived,True,2025-05-31,GSI_event_date_same_state_reference,random_historical_event_date_from_same_NER_state
BG-00052,Assam,26.124669,90.041128,0,spatial_background_sample,inside_NER_boundary_and_10km_from_GSI_inventory,N26E090,30.0,1.3865,48.0813,SRTM 1 arc-second DEM,DEM-derived,True,2014-09-22,GSI_event_date_same_state_reference,random_historical_event_date_from_same_NER_state
BG-00053,Arunachal Pradesh,28.613542,94.116027,0,spatial_background_sample,inside_NER_boundary_and_10km_from_GSI_inventory,N28E094,1956.0,7.4442,8.1039,SRTM 1 arc-second DEM,DEM-derived,True,2016-07-17,GSI_event_date_same_state_reference,random_historical_event_date_from_same_NER_state
BG-00054,Mizoram,22.743058,93.093954,0,spatial_background_sample,inside_NER_boundary_and_10km_from_GSI_inventory,N22E093,645.0,15.6134,305.3527,SRTM 1 arc-second DEM,DEM-derived,True,2025-05-31,GSI_event_date_same_state_reference,random_historical_event_date_from_same_NER_state
BG-00055,Tripura,24.077446,91.738901,0,spatial_background_sample,inside_NER_boundary_and_10km_from_GSI_inventory,N24E091,135.0,22.9642,147.0882,SRTM 1 arc-second DEM,DEM-derived,True,2009-07-10,GSI_event_date_same_state_reference,random_historical_event_date_from_same_NER_state
BG-00056,Arunachal Pradesh,28.007093,93.983326,0,spatial_background_sample,inside_NER_boundary_and_10km_from_GSI_inventory,N28E093,1570.0,29.7351,111.5926,SRTM 1 arc-second DEM,DEM-derived,True,2016-07-17,GSI_event_date_same_state_reference,random_historical_event_date_from_same_NER_state
BG-00057,Assam,26.435086,90.903103,0,spatial_background_sample,inside_NER_boundary_and_10km_from_GSI_inventory,N26E090,45.0,0.9264,0.0,SRTM 1 arc-second DEM,DEM-derived,True,2016-05-18,GSI_event_date_same_state_reference,random_historical_event_date_from_same_NER_state
BG-00058,Manipur,24.662978,94.505686,0,spatial_background_sample,inside_NER_boundary_and_10km_from_GSI_inventory,N24E094,646.0,19.5931,197.4528,SRTM 1 arc-second DEM,DEM-derived,True,2008-06-19,GSI_event_date_same_state_reference,random_historical_event_date_from_same_NER_state
BG-00059,Assam,26.681735,92.138303,0,spatial_background_sample,inside_NER_boundary_and_10km_from_GSI_inventory,N26E092,88.0,2.0728,90.0,SRTM 1 arc-second DEM,DEM-derived,True,2022-05-14,GSI_event_date_same_state_reference,random_historical_event_date_from_same_NER_state
BG-00060,Arunachal Pradesh,28.597955,93.532134,0,spatial_background_sample,inside_NER_boundary_and_10km_from_GSI_inventory,N28E093,4850.0,33.5944,59.2569,SRTM 1 arc-second DEM,DEM-derived,True,2016-07-17,GSI_event_date_same_state_reference,random_historical_event_date_from_same_NER_state
BG-00061,Sikkim,27.973952,88.785422,0,spatial_background_sample,inside_NER_boundary_and_10km_from_GSI_inventory,N27E088,5408.0,26.5369,132.8403,SRTM 1 arc-second DEM,DEM-derived,True,2014-06-24,GSI_event_date_same_state_reference,random_historical_event_date_from_same_NER_state
BG-00062,Sikkim,27.797703,88.22628,0,spatial_background_sample,inside_NER_boundary_and_10km_from_GSI_inventory,N27E088,6015.0,46.0526,4.0414,SRTM 1 arc-second DEM,DEM-derived,True,2021-05-18,GSI_event_date_same_state_reference,random_historical_event_date_from_same_NER_state
BG-00063,Sikkim,27.80778,88.4156,0,spatial_background_sample,inside_NER_boundary_and_10km_from_GSI_inventory,N27E088,4489.0,29.9462,32.6457,SRTM 1 arc-second DEM,DEM-derived,True,2014-07-08,GSI_event_date_same_state_reference,random_historical_event_date_from_same_NER_state
BG-00064,Assam,26.306803,91.433093,0,spatial_background_sample,inside_NER_boundary_and_10km_from_GSI_inventory,N26E091,46.0,0.9264,0.0,SRTM 1 arc-second DEM,DEM-derived,True,2022-05-15,GSI_event_date_same_state_reference,random_historical_event_date_from_same_NER_state
BG-00065,Meghalaya,25.236541,90.468564,0,spatial_background_sample,inside_NER_boundary_and_10km_from_GSI_inventory,N25E090,45.0,7.5147,222.6532,SRTM 1 arc-second DEM,DEM-derived,True,2009-07-01,GSI_event_date_same_state_reference,random_historical_event_date_from_same_NER_state
BG-00066,Arunachal Pradesh,28.677288,95.521574,0,spatial_background_sample,inside_NER_boundary_and_10km_from_GSI_inventory,N28E095,3661.0,36.1418,100.2021,SRTM 1 arc-second DEM,DEM-derived,True,2016-04-22,GSI_event_date_same_state_reference,random_historical_event_date_from_same_NER_state
BG-00067,Mizoram,23.332965,92.412836,0,spatial_background_sample,inside_NER_boundary_and_10km_from_GSI_inventory,N23E092,252.0,21.3519,29.7031,SRTM 1 arc-second DEM,DEM-derived,True,2025-06-01,GSI_event_date_same_state_reference,random_historical_event_date_from_same_NER_state
BG-00068,Arunachal Pradesh,28.962562,94.974927,0,spatial_background_sample,inside_NER_boundary_and_10km_from_GSI_inventory,N28E094,817.0,28.188,43.6049,SRTM 1 arc-second DEM,DEM-derived,True,2016-07-17,GSI_event_date_same_state_reference,random_historical_event_date_from_same_NER_state
BG-00069,Meghalaya,25.284174,90.137837,0,spatial_background_sample,inside_NER_boundary_and_10km_from_GSI_inventory,N25E090,87.0,13.3552,197.5358,SRTM 1 arc-second DEM,DEM-derived,True,2009-07-17,GSI_event_date_same_state_reference,random_historical_event_date_from_same_NER_state
BG-00070,Tripura,23.528503,91.609171,0,spatial_background_sample,inside_NER_boundary_and_10km_from_GSI_inventory,N23E091,93.0,6.822,312.5165,SRTM 1 arc-second DEM,DEM-derived,True,2018-05-18,GSI_event_date_same_state_reference,random_historical_event_date_from_same_NER_state
BG-00071,Meghalaya,25.51408,90.463379,0,spatial_background_sample,inside_NER_boundary_and_10km_from_GSI_inventory,N25E090,537.0,19.2379,38.0311,SRTM 1 arc-second DEM,DEM-derived,True,2007-09-15,GSI_event_date_same_state_reference,random_historical_event_date_from_same_NER_state
BG-00072,Tripura,24.207554,91.788367,0,spatial_background_sample,inside_NER_boundary_and_10km_from_GSI_inventory,N24E091,82.0,6.3135,331.2682,SRTM 1 arc-second DEM,DEM-derived,True,2009-07-10,GSI_event_date_same_state_reference,random_historical_event_date_from_same_NER_state
BG-00073,Meghalaya,25.318567,89.861186,0,spatial_background_sample,inside_NER_boundary_and_10km_from_GSI_inventory,N25E089,41.0,3.8392,15.4596,SRTM 1 arc-second DEM,DEM-derived,True,2020-05-26,GSI_event_date_same_state_reference,random_historical_event_date_from_same_NER_state
BG-00074,Sikkim,27.895952,88.445114,0,spatial_background_sample,inside_NER_boundary_and_10km_from_GSI_inventory,N27E088,5475.0,27.3084,231.2197,SRTM 1 arc-second DEM,DEM-derived,True,2021-08-27,GSI_event_date_same_state_reference,random_historical_event_date_from_same_NER_state
BG-00075,Meghalaya,25.680557,90.952438,0,spatial_background_sample,inside_NER_boundary_and_10km_from_GSI_inventory,N25E090,811.0,13.0081,50.9544,SRTM 1 arc-second DEM,DEM-derived,True,2022-06-17,GSI_event_date_same_state_reference,random_historical_event_date_from_same_NER_state
BG-00076,Arunachal Pradesh,28.352627,94.207518,0,spatial_background_sample,inside_NER_boundary_and_10km_from_GSI_inventory,N28E094,1633.0,17.3664,55.3376,SRTM 1 arc-second DEM,DEM-derived,True,2016-07-17,GSI_event_date_same_state_reference,random_historical_event_date_from_same_NER_state
BG-00077,Tripura,23.870733,91.807467,0,spatial_background_sample,inside_NER_boundary_and_10km_from_GSI_inventory,N23E091,118.0,18.7495,98.2161,SRTM 1 arc-second DEM,DEM-derived,True,2009-07-10,GSI_event_date_same_state_reference,random_historical_event_date_from_same_NER_state
BG-00078,Sikkim,27.663231,88.330809,0,spatial_background_sample,inside_NER_boundary_and_10km_from_GSI_inventory,N27E088,4064.0,65.4658,89.5771,SRTM 1 arc-second DEM,DEM-derived,True,2025-09-11,GSI_event_date_same_state_reference,random_historical_event_date_from_same_NER_state
BG-00079,Arunachal Pradesh,28.090989,92.810779,0,spatial_background_sample,inside_NER_boundary_and_10km_from_GSI_inventory,N28E092,3988.0,31.6323,346.229,SRTM 1 arc-second DEM,DEM-derived,True,2016-07-17,GSI_event_date_same_state_reference,random_historical_event_date_from_same_NER_state
BG-00080,Tripura,23.921022,92.097067,0,spatial_background_sample,inside_NER_boundary_and_10km_from_GSI_inventory,N23E092,290.0,12.7929,355.532,SRTM 1 arc-second DEM,DEM-derived,True,2009-07-10,GSI_event_date_same_state_reference,random_historical_event_date_from_same_NER_state
BG-00081,Meghalaya,25.878685,90.476238,0,spatial_background_sample,inside_NER_boundary_and_10km_from_GSI_inventory,N25E090,182.0,16.8817,288.6441,SRTM 1 arc-second DEM,DEM-derived,True,2024-06-17,GSI_event_date_same_state_reference,random_historical_event_date_from_same_NER_state
BG-00082,Sikkim,27.890527,88.17406,0,spatial_background_sample,inside_NER_boundary_and_10km_from_GSI_inventory,N27E088,6236.0,22.5121,192.7504,SRTM 1 arc-second DEM,DEM-derived,True,2022-08-25,GSI_event_date_same_state_reference,random_historical_event_date_from_same_NER_state
BG-00083,Meghalaya,25.713075,92.397014,0,spatial_background_sample,inside_NER_boundary_and_10km_from_GSI_inventory,N25E092,876.0,9.2404,186.3334,SRTM 1 arc-second DEM,DEM-derived,True,2009-07-01,GSI_event_date_same_state_reference,random_historical_event_date_from_same_NER_state
BG-00084,Arunachal Pradesh,28.313255,96.216964,0,spatial_background_sample,inside_NER_boundary_and_10km_from_GSI_inventory,N28E096,3244.0,34.5643,99.4562,SRTM 1 arc-second DEM,DEM-derived,True,2016-07-17,GSI_event_date_same_state_reference,random_historical_event_date_from_same_NER_state
BG-00085,Manipur,24.96646,93.900516,0,spatial_background_sample,inside_NER_boundary_and_10km_from_GSI_inventory,N24E093,840.0,2.9586,159.8119,SRTM 1 arc-second DEM,DEM-derived,True,2018-06-22,GSI_event_date_same_state_reference,random_historical_event_date_from_same_NER_state
BG-00086,Sikkim,27.665013,88.312301,0,spatial_background_sample,inside_NER_boundary_and_10km_from_GSI_inventory,N27E088,3416.0,5.638,10.6573,SRTM 1 arc-second DEM,DEM-derived,True,2012-07-17,GSI_event_date_same_state_reference,random_historical_event_date_from_same_NER_state
BG-00087,Tripura,23.864815,91.54381,0,spatial_background_sample,inside_NER_boundary_and_10km_from_GSI_inventory,N23E091,108.0,14.0871,219.3558,SRTM 1 arc-second DEM,DEM-derived,True,2009-07-10,GSI_event_date_same_state_reference,random_historical_event_date_from_same_NER_state
BG-00088,Meghalaya,25.365991,89.868506,0,spatial_background_sample,inside_NER_boundary_and_10km_from_GSI_inventory,N25E089,32.0,2.0497,90.0,SRTM 1 arc-second DEM,DEM-derived,True,2007-07-25,GSI_event_date_same_state_reference,random_historical_event_date_from_same_NER_state
BG-00089,Sikkim,27.906554,88.281581,0,spatial_background_sample,inside_NER_boundary_and_10km_from_GSI_inventory,N27E088,5108.0,7.1699,334.1281,SRTM 1 arc-second DEM,DEM-derived,True,2013-08-28,GSI_event_date_same_state_reference,random_historical_event_date_from_same_NER_state
BG-00090,Tripura,24.164006,92.132562,0,spatial_background_sample,inside_NER_boundary_and_10km_from_GSI_inventory,N24E092,61.0,12.3053,257.151,SRTM 1 arc-second DEM,DEM-derived,True,2018-05-18,GSI_event_date_same_state_reference,random_historical_event_date_from_same_NER_state
BG-00091,Assam,25.741994,92.87656,0,spatial_background_sample,inside_NER_boundary_and_10km_from_GSI_inventory,N25E092,90.0,11.5731,37.8516,SRTM 1 arc-second DEM,DEM-derived,True,2016-05-17,GSI_event_date_same_state_reference,random_historical_event_date_from_same_NER_state
BG-00092,Tripura,24.211915,92.115474,0,spatial_background_sample,inside_NER_boundary_and_10km_from_GSI_inventory,N24E092,69.0,1.0157,90.0,SRTM 1 arc-second DEM,DEM-derived,True,2018-05-18,GSI_event_date_same_state_reference,random_historical_event_date_from_same_NER_state
BG-00093,Sikkim,27.880314,88.271858,0,spatial_background_sample,inside_NER_boundary_and_10km_from_GSI_inventory,N27E088,5201.0,9.185,180.0,SRTM 1 arc-second DEM,DEM-derived,True,2014-06-24,GSI_event_date_same_state_reference,random_historical_event_date_from_same_NER_state
BG-00094,Arunachal Pradesh,28.093818,94.181734,0,spatial_background_sample,inside_NER_boundary_and_10km_from_GSI_inventory,N28E094,747.0,28.9211,5.7117,SRTM 1 arc-second DEM,DEM-derived,True,2016-07-17,GSI_event_date_same_state_reference,random_historical_event_date_from_same_NER_state
BG-00095,Assam,26.061647,90.035142,0,spatial_background_sample,inside_NER_boundary_and_10km_from_GSI_inventory,N26E090,30.0,3.6016,59.0834,SRTM 1 arc-second DEM,DEM-derived,True,2016-05-22,GSI_event_date_same_state_reference,random_historical_event_date_from_same_NER_state
BG-00096,Arunachal Pradesh,27.978859,96.927024,0,spatial_background_sample,inside_NER_boundary_and_10km_from_GSI_inventory,N27E096,2647.0,36.5399,200.2375,SRTM 1 arc-second DEM,DEM-derived,True,2016-07-17,GSI_event_date_same_state_reference,random_historical_event_date_from_same_NER_state
BG-00097,Assam,26.699094,90.882272,0,spatial_background_sample,inside_NER_boundary_and_10km_from_GSI_inventory,N26E090,98.0,3.2426,73.4168,SRTM 1 arc-second DEM,DEM-derived,True,2018-08-24,GSI_event_date_same_state_reference,random_historical_event_date_from_same_NER_state
